State,year,number_breweries,population,residents_per_brewery
MD,2004,29,5546.935,191.2736206896552
ME,2004,43,1313.688,30.550883720930234
MI,2004,78,10055.315,128.91429487179488
MN,2004,30,5087.713,169.59043333333332
MO,2004,28,5747.741,205.2764642857143
MS,2004,3,2889.01,963.0033333333334
MT,2004,22,930.009,42.27313636363636
NC,2004,43,8553.152,198.91051162790697
ND,2004,4,644.705,161.17625
NE,2004,12,1749.37,145.78083333333333
NH,2004,16,1290.121,80.6325625
NJ,2004,21,8634.561,411.16957142857143
NM,2004,22,1903.808,86.53672727272728
NV,2004,17,2346.222,138.01305882352943
NY,2004,80,19171.567,239.6445875
OH,2004,55,11452.251,208.22274545454545
OK,2004,7,3525.233,503.6047142857143
OR,2004,92,3569.463,38.79851086956522
PA,2004,86,12410.722,144.31072093023255
RI,2004,6,1074.579,179.0965
SC,2004,21,4210.921,200.52004761904763
SD,2004,6,770.396,128.39933333333332
TN,2004,24,5910.809,246.28370833333335
TX,2004,40,22394.023,559.850575
UT,2004,16,2401.58,150.09875
VA,2004,31,7475.575,241.1475806451613
VT,2004,26,619.92,23.84307692307692
WA,2004,93,6178.645,66.43704301075269
WI,2004,97,5514.026,56.84562886597938
WV,2004,4,1816.438,454.1095
WY,2004,13,509.106,39.162
AK,2005,15,666.946,44.46306666666667
AL,2005,5,4569.805,913.961
AR,2005,4,2781.097,695.27425
AZ,2005,31,5839.077,188.35732258064516
CA,2005,278,35827.943,128.8774928057554
CO,2005,104,4631.888,44.53738461538462
CT,2005,19,3506.956,184.57663157894737
DC,2005,4,567.136,141.784
DE,2005,8,845.15,105.64375
FL,2005,69,17842.038,258.5802608695652
GA,2005,25,8925.922,357.03688
HI,2005,12,1292.729,107.72741666666667
IA,2005,18,2964.454,164.6918888888889
ID,2005,20,1428.241,71.41205
IL,2005,43,12609.903,293.2535581395349
IN,2005,27,6278.616,232.54133333333334
KS,2005,11,2745.299,249.57263636363635
KY,2005,10,4182.742,418.2742
LA,2005,10,4576.628,457.66279999999995
MA,2005,38,6403.29,168.50763157894735
MD,2005,25,5592.379,223.69516
ME,2005,43,1318.787,30.66946511627907
MI,2005,84,10051.137,119.65639285714286
MN,2005,31,5119.598,165.14832258064516
MO,2005,33,5790.3,175.46363636363637
MS,2005,3,2905.943,968.6476666666667
MT,2005,21,940.102,44.76676190476191
NC,2005,45,8705.407,193.45348888888887
ND,2005,4,646.089,161.52225
NE,2005,16,1761.497,110.0935625
NH,2005,14,1298.492,92.74942857142857
NJ,2005,21,8651.974,411.9987619047619
NM,2005,22,1932.274,87.83063636363636
NV,2005,16,2432.143,152.0089375
NY,2005,82,19132.61,233.32451219512197
OH,2005,53,11463.32,216.2890566037736
OK,2005,8,3548.597,443.574625
OR,2005,88,3613.202,41.05911363636364
PA,2005,78,12449.99,159.61525641025642
RI,2005,5,1067.916,213.58319999999998
SC,2005,19,4270.15,224.74473684210525
SD,2005,6,775.493,129.24883333333335
TN,2005,19,5991.057,315.3187894736842
TX,2005,45,22778.123,506.1805111111111
UT,2005,15,2457.719,163.84793333333334
VA,2005,34,7577.105,222.8560294117647
VT,2005,24,621.215,25.883958333333336
WA,2005,100,6257.305,62.57305
WI,2005,98,5546.166,56.5935306122449
WV,2005,4,1820.492,455.123
WY,2005,14,514.157,36.725500000000004
AK,2006,14,675.302,48.23585714285714
AL,2006,4,4628.981,1157.24525
AR,2006,4,2821.761,705.44025
AZ,2006,33,6029.141,182.70124242424242
CA,2006,293,36021.202,122.93925597269623
CO,2006,102,4720.423,46.278656862745095
CT,2006,18,3517.46,195.41444444444446
DC,2006,4,570.681,142.67025
DE,2006,9,859.268,95.47422222222222
FL,2006,51,18166.99,356.21549019607846
GA,2006,22,9155.813,416.17331818181816
HI,2006,12,1309.731,109.14425
IA,2006,19,2982.644,156.98126315789472
ID,2006,20,1468.669,73.43345000000001
IL,2006,45,12643.955,280.9767777777778
IN,2006,25,6332.669,253.30676
KS,2006,17,2762.931,162.52535294117646
KY,2006,10,4219.239,421.92389999999995
LA,2006,10,4302.665,430.2665
MA,2006,40,6410.084,160.25209999999998
MD,2006,26,5627.367,216.43719230769233
ME,2006,43,1323.619,30.781837209302324
MI,2006,91,10036.081,110.2866043956044
MN,2006,35,5163.555,147.53014285714286
MO,2006,34,5842.704,171.84423529411765
MT,2006,22,952.692,43.30418181818182
NC,2006,46,8917.27,193.8536956521739
ND,2006,3,649.422,216.47400000000002
NE,2006,16,1772.693,110.7933125
NH,2006,14,1308.389,93.45635714285713
NJ,2006,21,8661.679,412.46090476190477
NM,2006,23,1962.137,85.31030434782609
NV,2006,16,2522.658,157.666125
NY,2006,82,19104.631,232.98330487804878
OH,2006,57,11481.213,201.4247894736842
OK,2006,7,3594.09,513.4414285714286
OR,2006,95,3670.883,38.640873684210526
PA,2006,81,12510.809,154.45443209876544
RI,2006,5,1063.096,212.6192
SC,2006,16,4357.847,272.3654375
SD,2006,7,783.033,111.86185714285715
TN,2006,19,6088.766,320.4613684210526
TX,2006,47,23359.58,497.01234042553193
UT,2006,17,2525.507,148.55923529411766
VA,2006,35,7673.725,219.24928571428572
VT,2006,24,622.892,25.953833333333336
WA,2006,108,6370.753,58.9884537037037
WI,2006,103,5577.655,54.15199029126213
WV,2006,6,1827.912,304.652
WY,2006,14,522.667,37.333357142857146
AK,2007,15,680.3,45.35333333333333
AL,2007,5,4672.84,934.568
AR,2007,4,2848.65,712.1625
AZ,2007,33,6167.681,186.89942424242423
CA,2007,310,36250.311,116.9364870967742
CO,2007,112,4803.868,42.89167857142858
CT,2007,19,3527.27,185.6457894736842
DC,2007,3,574.404,191.468
DE,2007,10,871.749,87.17490000000001
FL,2007,50,18367.842,367.35684000000003
GA,2007,23,9349.988,406.52121739130433
HI,2007,12,1315.675,109.63958333333333
IA,2007,20,2999.212,149.9606
ID,2007,20,1505.105,75.25525
IL,2007,52,12695.866,244.15126923076923
IN,2007,30,6379.599,212.6533
KS,2007,18,2783.785,154.6547222222222
KY,2007,12,4256.672,354.7226666666666
LA,2007,10,4375.581,437.5581
MA,2007,43,6431.559,149.5711395348837
MD,2007,24,5653.408,235.55866666666668
ME,2007,43,1327.04,30.86139534883721
MI,2007,94,10001.284,106.39663829787234
MN,2007,34,5207.203,153.15302941176472
MO,2007,38,5887.612,154.93715789473686
MT,2007,26,964.706,37.104076923076924
NC,2007,45,9118.037,202.62304444444445
ND,2007,3,652.822,217.60733333333334
NE,2007,17,1783.44,104.90823529411765
NH,2007,15,1312.54,87.50266666666667
NJ,2007,21,8677.885,413.23261904761904
NM,2007,21,1990.07,94.76523809523809
NV,2007,16,2601.072,162.567
NY,2007,77,19132.335,248.4718831168831
OH,2007,58,11500.468,198.28393103448278
OK,2007,6,3634.349,605.7248333333333
OR,2007,96,3722.417,38.77517708333333
PA,2007,94,12563.937,133.65890425531916
RI,2007,5,1057.315,211.46300000000002
SC,2007,17,4444.11,261.4182352941176
SD,2007,8,791.623,98.952875
TN,2007,22,6175.727,280.71486363636365
TX,2007,45,23831.983,529.5996222222223
UT,2007,15,2597.746,173.18306666666666
VA,2007,35,7751,221.45714285714286
VT,2007,22,623.481,28.340045454545454
WA,2007,110,6461.587,58.7417
WI,2007,105,5610.775,53.43595238095238
WV,2007,6,1834.052,305.6753333333333
WY,2007,14,534.876,38.20542857142857
AK,2008,16,687.455,42.9659375
AL,2008,5,4718.206,943.6412
AR,2008,4,2874.554,718.6385
AZ,2008,33,6280.362,190.314
CA,2008,333,36604.337,109.92293393393393
CO,2008,117,4889.73,41.7925641025641
CT,2008,21,3545.579,168.83709523809526
DC,2008,3,580.236,193.412
DE,2008,9,883.874,98.20822222222222
FL,2008,61,18527.305,303.72631147540983
GA,2008,20,9504.843,475.24215000000004
HI,2008,11,1332.213,121.11027272727273
IA,2008,21,3016.734,143.654
ID,2008,24,1534.32,63.93
IL,2008,51,12747.038,249.94192156862746
IN,2008,30,6424.806,214.16019999999997
KS,2008,17,2808.076,165.18094117647058
KY,2008,12,4289.878,357.4898333333333
LA,2008,10,4435.586,443.5586
MA,2008,45,6468.967,143.7548222222222
MD,2008,24,5684.965,236.87354166666668
ME,2008,43,1330.509,30.94206976744186
MI,2008,96,9946.889,103.61342708333332
MN,2008,36,5247.018,145.7505
MO,2008,38,5923.916,155.89252631578947
MT,2008,31,976.415,31.497258064516128
NC,2008,50,9309.449,186.18898000000002
ND,2008,3,657.569,219.18966666666665
NE,2008,16,1796.378,112.273625
NH,2008,16,1315.906,82.244125
NJ,2008,20,8711.09,435.5545
NM,2008,20,2010.662,100.5331
NV,2008,17,2653.63,156.09588235294117
NY,2008,81,19212.436,237.19056790123457
OH,2008,66,11515.391,174.4756212121212
OK,2008,9,3668.976,407.664
OR,2008,108,3768.748,34.89581481481481
PA,2008,97,12612.285,130.0235567010309
RI,2008,5,1055.003,211.0006
SC,2008,16,4528.996,283.06225
SD,2008,7,799.124,114.16057142857143
TN,2008,23,6247.411,271.6265652173913
TX,2008,47,24309.039,517.2135957446809
UT,2008,15,2663.029,177.53526666666667
VA,2008,43,7833.496,182.17432558139535
VT,2008,24,624.151,26.006291666666666
WA,2008,121,6562.231,54.233314049586774
WI,2008,110,5640.996,51.28178181818182
WV,2008,6,1840.31,306.7183333333333
WY,2008,14,546.043,39.00307142857143
AK,2009,18,698.895,38.8275
AL,2009,5,4757.938,951.5876000000001
AR,2009,5,2896.843,579.3686
AZ,2009,34,6343.154,186.56335294117648
CA,2009,340,36961.229,108.70949705882353
CO,2009,116,4972.195,42.863749999999996
CT,2009,19,3561.807,187.46352631578947
DC,2009,3,592.228,197.4093333333333
DE,2009,11,891.73,81.06636363636363
FL,2009,52,18652.644,358.7046923076923
GA,2009,22,9620.846,437.3111818181818
HI,2009,11,1346.717,122.42881818181819
IA,2009,28,3032.87,108.31678571428571
ID,2009,25,1554.439,62.17756
IL,2009,60,12796.778,213.27963333333335
IN,2009,39,6459.325,165.62371794871794
KS,2009,17,2832.704,166.62964705882354
KY,2009,15,4317.074,287.8049333333333
LA,2009,11,4491.648,408.3316363636364
MA,2009,44,6517.613,148.1275681818182
MD,2009,26,5730.388,220.39953846153847
ME,2009,42,1329.59,31.65690476190476
MI,2009,104,9901.591,95.20760576923077
MN,2009,39,5281.203,135.41546153846156
MO,2009,47,5961.088,126.83165957446808
MT,2009,31,983.982,31.741354838709675
NC,2009,52,9449.566,181.7224230769231
ND,2009,3,664.968,221.65599999999998
NE,2009,17,1812.683,106.62841176470589
NH,2009,17,1316.102,77.41776470588236
NJ,2009,22,8755.602,397.98190909090914
NM,2009,21,2036.802,96.99057142857143
NV,2009,18,2684.665,149.14805555555554
NY,2009,84,19307.066,229.84602380952379
OH,2009,66,11528.896,174.68024242424244
OK,2009,10,3717.572,371.7572
OR,2009,108,3808.6,35.26481481481481
PA,2009,96,12666.858,131.9464375
RI,2009,5,1053.646,210.7292
SC,2009,15,4589.872,305.99146666666667
SD,2009,7,807.067,115.29528571428571
TN,2009,23,6306.019,274.1747391304348
TX,2009,47,24801.761,527.6970425531914
UT,2009,18,2723.421,151.30116666666666
VA,2009,42,7925.937,188.7127857142857
VT,2009,27,624.817,23.14137037037037
WA,2009,138,6667.426,48.314681159420296
WI,2009,108,5669.264,52.49318518518518
WV,2009,8,1847.775,230.971875
WY,2009,13,559.851,43.06546153846154
AK,2010,20,713.906,35.695299999999996
AL,2010,7,4785.448,683.6354285714286
AR,2010,5,2921.978,584.3956000000001
AZ,2010,37,6407.774,173.1830810810811
CA,2010,358,37320.903,104.24833240223464
CO,2010,129,5048.281,39.13396124031008
CT,2010,21,3579.125,170.4345238095238
DC,2010,4,605.085,151.27125
DE,2010,11,899.595,81.78136363636364
FL,2010,60,18845.785,314.09641666666664
GA,2010,26,9711.81,373.5311538461538
HI,2010,11,1363.963,123.99663636363636
IA,2010,27,3050.767,112.99137037037036
ID,2010,25,1570.773,62.83092
IL,2010,62,12840.762,207.10906451612905
IN,2010,43,6490.436,150.94037209302326
KS,2010,17,2858.213,168.13017647058825
KY,2010,14,4348.2,310.5857142857143
LA,2010,12,4544.532,378.711
MA,2010,48,6566.431,136.80064583333333
MD,2010,24,5788.642,241.19341666666665
ME,2010,44,1327.632,30.173454545454547
MI,2010,111,9877.535,88.9868018018018
MN,2010,42,5310.843,126.44864285714286
MO,2010,51,5995.976,117.56815686274508
MS,2010,3,2970.536,990.1786666666667
MT,2010,31,990.722,31.958774193548386
NC,2010,61,9574.293,156.95562295081967
ND,2010,3,674.71,224.90333333333334
NE,2010,16,1829.536,114.346
NH,2010,19,1316.777,69.30405263157895
NJ,2010,24,8799.624,366.651
NM,2010,26,2064.588,79.40723076923078
NV,2010,20,2702.464,135.1232
NY,2010,100,19400.08,194.00080000000003
OH,2010,75,11539.327,153.85769333333332
OK,2010,10,3759.632,375.96320000000003
OR,2010,120,3837.532,31.979433333333336
PA,2010,118,12711.158,107.7216779661017
RI,2010,5,1053.938,210.78760000000003
SC,2010,16,4635.656,289.7285
SD,2010,8,816.165,102.020625
TN,2010,26,6355.301,244.43465384615385
TX,2010,59,25242.679,427.84201694915254
UT,2010,18,2775.334,154.18522222222222
VA,2010,44,8023.68,182.35636363636365
VT,2010,32,625.88,19.55875
WA,2010,157,6742.902,42.94842038216561
WI,2010,119,5690.479,47.819151260504206
WV,2010,8,1854.214,231.77675
WY,2010,16,564.483,35.2801875
AK,2011,23,722.038,31.39295652173913
AL,2011,9,4798.834,533.2037777777778
AR,2011,7,2940.407,420.05814285714285
AZ,2011,45,6473.497,143.85548888888889
CA,2011,401,37641.823,93.86988279301745
CO,2011,149,5121.771,34.37430201342282
CT,2011,20,3588.023,179.40115
DC,2011,6,619.602,103.267
DE,2011,12,907.316,75.60966666666667
FL,2011,71,19093.352,268.92045070422535
GA,2011,25,9801.578,392.06311999999997
HI,2011,12,1379.252,114.93766666666666
IA,2011,35,3066.054,87.60154285714286
ID,2011,33,1583.828,47.994787878787875
IL,2011,68,12867.291,189.2248676470588
IN,2011,59,6516.045,110.4414406779661
KS,2011,21,2869.035,136.62071428571429
KY,2011,21,4369.488,208.07085714285716
LA,2011,12,4575.184,381.26533333333333
MA,2011,52,6613.149,127.17594230769231
MD,2011,26,5838.991,224.5765769230769
ME,2011,49,1328.15,27.105102040816327
MI,2011,131,9881.521,75.43145801526718
MN,2011,56,5345.668,95.45835714285714
MO,2011,55,6009.641,109.2662
MT,2011,35,997.221,28.492028571428573
NC,2011,71,9656.754,136.01061971830987
ND,2011,3,685.136,228.37866666666665
NE,2011,18,1840.538,102.2521111111111
NH,2011,21,1319.815,62.848333333333336
NJ,2011,31,8827.783,284.76719354838707
NM,2011,30,2080.395,69.3465
NV,2011,20,2712.799,135.63995
NY,2011,123,19498.514,158.52450406504065
OH,2011,81,11543.463,142.51188888888888
OK,2011,10,3787.821,378.7821
OR,2011,148,3871.728,26.160324324324325
PA,2011,146,12744.583,87.29166438356165
RI,2011,6,1053.536,175.58933333333334
SC,2011,17,4671.422,274.7895294117647
SD,2011,9,823.484,91.49822222222222
TN,2011,31,6397.41,206.36806451612904
TX,2011,84,25646.227,305.31222619047617
UT,2011,18,2814.216,156.34533333333331
VA,2011,54,8100.469,150.0086851851852
VT,2011,34,626.979,18.440558823529415
WA,2011,188,6821.655,36.28539893617021
WI,2011,126,5704.755,45.27583333333333
WV,2011,8,1856.074,232.00925
WY,2011,15,567.224,37.814933333333336
AK,2012,25,730.399,29.21596
AL,2012,15,4815.564,321.0376
AR,2012,13,2952.109,227.08530769230768
AZ,2012,55,6556.629,119.21143636363637
CA,2012,472,37960.782,80.42538559322034
CO,2012,185,5193.721,28.074167567567564
CT,2012,24,3594.395,149.76645833333333
DC,2012,5,634.725,126.94500000000001
DE,2012,13,915.188,70.39907692307692
FL,2012,89,19326.23,217.14865168539325
GA,2012,31,9901.496,319.4030967741935
HI,2012,15,1394.905,92.99366666666667
IA,2012,46,3076.097,66.87167391304348
ID,2012,39,1595.441,40.908743589743594
IL,2012,95,12884.119,135.6223052631579
IN,2012,72,6537.64,90.80055555555556
KS,2012,21,2885.361,137.39814285714286
KY,2012,25,4386.381,175.45524
LA,2012,12,4600.814,383.4011666666667
MA,2012,65,6663.158,102.51012307692308
MD,2012,40,5887.072,147.17680000000001
ME,2012,53,1327.691,25.05077358490566
MI,2012,160,9896.93,61.8558125
MN,2012,70,5376.55,76.80785714285715
MO,2012,60,6024.081,100.40135000000001
MS,2012,4,2983.767,745.94175
MT,2012,41,1003.754,24.48180487804878
NC,2012,94,9749.123,103.7140744680851
ND,2012,7,701.116,100.15942857142856
NE,2012,20,1853.323,92.66615
NH,2012,25,1323.962,52.95848
NJ,2012,29,8845.483,305.0166551724138
NM,2012,38,2087.549,54.9355
NV,2012,23,2744.566,119.32895652173912
NY,2012,150,19574.549,130.49699333333334
OH,2012,99,11548.369,116.65019191919193
OK,2012,13,3818.6,293.73846153846154
OR,2012,180,3899.118,21.661766666666665
PA,2012,162,12766.827,78.80757407407407
RI,2012,9,1054.601,117.1778888888889
SC,2012,23,4717.112,205.09182608695653
SD,2012,12,833.496,69.458
TN,2012,45,6451.281,143.3618
TX,2012,107,26089.62,243.8282242990654
UT,2012,22,2853.467,129.70304545454545
VA,2012,67,8185.229,122.16759701492538
VT,2012,39,626.063,16.052897435897435
WA,2012,230,6892.876,29.96902608695652
WI,2012,146,5719.855,39.17708904109589
WV,2012,8,1856.764,232.0955
WY,2012,19,576.27,30.33
AK,2013,25,737.045,29.4818
AL,2013,23,4830.46,210.02
AR,2013,18,2959.549,164.41938888888888
AZ,2013,59,6634.999,112.45761016949152
CA,2013,528,38280.824,72.50156060606061
CO,2013,234,5270.482,22.52342735042735
CT,2013,39,3594.915,92.17730769230769
DC,2013,11,650.431,59.13009090909091
DE,2013,13,923.638,71.04907692307692
FL,2013,113,19563.166,173.1253628318584
GA,2013,37,9973.326,269.54935135135133
HI,2013,17,1408.453,82.85017647058824
IA,2013,54,3093.078,57.279222222222224
ID,2013,42,1611.53,38.3697619047619
IL,2013,123,12898.269,104.8639756097561
IN,2013,95,6568.367,69.1407052631579
KS,2013,25,2893.51,115.74040000000001
KY,2013,25,4404.817,176.19268
LA,2013,15,4624.577,308.30513333333334
MA,2013,82,6713.944,81.87736585365855
MD,2013,43,5923.704,137.76055813953488
ME,2013,60,1328.196,22.136599999999998
MI,2013,195,9913.349,50.83768717948718
MN,2013,75,5413.693,72.18257333333334
MO,2013,63,6040.658,95.88346031746032
MS,2013,7,2988.797,426.971
MT,2013,49,1013.564,20.684979591836733
NC,2013,125,9843.599,78.748792
ND,2013,8,721.999,90.249875
NE,2013,25,1865.414,74.61655999999999
NH,2013,35,1326.408,37.897371428571425
NJ,2013,37,8858.362,239.41518918918916
NM,2013,48,2092.792,43.59983333333333
NV,2013,26,2776.972,106.8066153846154
NY,2013,193,19628.043,101.69970466321244
OH,2013,114,11576.576,101.54891228070174
OK,2013,17,3853.205,226.65911764705882
OR,2013,220,3922.908,17.8314
PA,2013,183,12776.621,69.81760109289617
RI,2013,12,1055.122,87.92683333333333
SC,2013,30,4764.153,158.8051
SD,2013,12,842.27,70.18916666666667
TN,2013,51,6493.432,127.32219607843138
TX,2013,128,26489.464,206.9489375
UT,2013,24,2897.927,120.74695833333334
VA,2013,85,8253.053,97.09474117647059
VT,2013,45,626.212,13.915822222222221
WA,2013,266,6962.906,26.17633834586466
WI,2013,146,5736.952,39.29419178082192
WV,2013,9,1853.873,205.9858888888889
WY,2013,25,582.123,23.284920000000003
AK,2014,28,736.307,26.296678571428572
AL,2014,25,4842.481,193.69924
AR,2014,23,2967.726,129.03156521739132
AZ,2014,77,6733.84,87.45246753246754
CA,2014,654,38625.139,59.05984556574924
CO,2014,300,5351.218,17.83739333333333
CT,2014,50,3594.783,71.89565999999999
DC,2014,12,662.513,55.20941666666667
DE,2014,15,932.596,62.173066666666664
FL,2014,158,19860.33,125.69829113924052
GA,2014,48,10069.001,209.77085416666668
HI,2014,20,1414.862,70.7431
IA,2014,60,3109.504,51.825066666666665
ID,2014,51,1631.479,31.98978431372549
IL,2014,164,12888.962,78.59123170731706
IN,2014,116,6593.533,56.84080172413793
KS,2014,27,2900.896,107.4405925925926
KY,2014,38,4414.483,116.1706052631579
LA,2014,17,4644.204,273.1884705882353
MA,2014,98,6763.652,69.01685714285715
MD,2014,55,5958.165,108.33027272727273
ME,2014,71,1330.76,18.743098591549295
MI,2014,256,9930.589,38.79136328125
MN,2014,113,5451.522,48.24355752212389
MO,2014,77,6056.293,78.65315584415583
MS,2014,10,2990.623,299.0623
MT,2014,62,1021.891,16.482112903225804
NC,2014,155,9933.944,64.08996129032258
ND,2014,10,737.382,73.73819999999999
NE,2014,35,1879.522,53.70062857142857
NH,2014,46,1333.223,28.983108695652174
NJ,2014,49,8866.78,180.95469387755102
NM,2014,60,2090.342,34.83903333333333
NV,2014,34,2819.012,82.91211764705884
NY,2014,255,19656.33,77.08364705882353
OH,2014,151,11602.973,76.84088079470199
OK,2014,18,3878.367,215.46483333333333
OR,2014,244,3964.106,16.24633606557377
PA,2014,233,12789.101,54.888845493562236
RI,2014,14,1056.017,75.42978571428571
SC,2014,37,4823.793,130.37278378378377
SD,2014,15,849.088,56.605866666666664
TN,2014,69,6540.826,94.79457971014493
TX,2014,170,26977.142,158.6890705882353
UT,2014,27,2937.399,108.79255555555555
VA,2014,117,8312.076,71.04338461538461
VT,2014,51,625.218,12.259176470588235
WA,2014,314,7052.439,22.459996815286626
WI,2014,168,5751.974,34.237940476190474
WV,2014,13,1849.467,142.26669230769232
WY,2014,28,582.548,20.805285714285713
AK,2015,35,737.547,21.07277142857143
AL,2015,30,4853.16,161.772
AR,2015,29,2978.407,102.70368965517243
AZ,2015,91,6833.596,75.09446153846153
CA,2015,788,38953.142,49.432921319796954
CO,2015,352,5452.107,15.48894034090909
CT,2015,59,3587.509,60.805237288135594
DC,2015,13,675.254,51.94261538461539
DE,2015,21,941.413,44.829190476190476
FL,2015,205,20224.249,98.6548731707317
GA,2015,54,10181.111,188.5390925925926
HI,2015,26,1422.484,54.71092307692307
IA,2015,71,3121.46,43.96422535211268
ID,2015,57,1651.523,28.974087719298243
IL,2015,210,12864.342,61.25877142857143
IN,2015,151,6608.296,43.76354966887418
KS,2015,37,2909.502,78.63518918918919
KY,2015,48,4425.999,92.20831249999999
LA,2015,25,4664.851,186.59403999999998
MA,2015,124,6795.891,54.805572580645155
MD,2015,73,5986.717,82.00982191780821
ME,2015,84,1328.484,15.815285714285713
MI,2015,316,9932.573,31.432193037974685
MN,2015,142,5482.503,38.60917605633803
MO,2015,90,6071.745,67.46383333333333
MS,2015,14,2988.693,213.47807142857144
MT,2015,74,1030.503,13.925716216216216
NC,2015,207,10033.079,48.4689806763285
ND,2015,11,754.022,68.54745454545456
NE,2015,39,1891.507,48.50017948717949
NH,2015,63,1336.294,21.211015873015874
NJ,2015,71,8870.869,124.94181690140846
NM,2015,71,2090.211,29.439591549295773
NV,2015,39,2868.666,73.55553846153846
NY,2015,329,19661.411,59.76112765957447
OH,2015,187,11617.85,62.127540106951876
OK,2015,21,3909.831,186.18242857142857
OR,2015,281,4016.918,14.295081850533808
PA,2015,278,12785.759,45.99193884892086
RI,2015,15,1056.173,70.41153333333334
SC,2015,51,4892.253,95.9265294117647
SD,2015,19,853.933,44.94384210526316
TN,2015,88,6590.808,74.89554545454546
TX,2015,220,27486.814,124.94006363636363
UT,2015,29,2982.497,102.84472413793102
VA,2015,155,8362.907,53.95423870967741
VT,2015,66,625.197,9.472681818181819
WA,2015,383,7163.543,18.703767624020887
WI,2015,189,5761.406,30.48362962962963
WV,2015,17,1841.996,108.35270588235295
WY,2015,32,585.668,18.302125
AK,2016,36,741.504,20.597333333333335
AL,2016,37,4864.745,131.4795945945946
AR,2016,34,2990.41,87.95323529411765
AZ,2016,110,6945.452,63.14047272727273
CA,2016,927,39209.127,42.2967928802589
CO,2016,386,5540.921,14.354717616580311
CT,2016,76,3578.674,47.08781578947369
DC,2016,13,686.575,52.81346153846154
DE,2016,25,949.216,37.96864
FL,2016,264,20629.982,78.14387121212121
GA,2016,69,10304.763,149.34439130434785
HI,2016,23,1428.105,62.091521739130435
IA,2016,94,3131.785,33.31686170212766
ID,2016,67,1682.93,25.118358208955225
IL,2016,244,12826.895,52.56924180327869
IN,2016,163,6633.344,40.69536196319019
KS,2016,47,2911.263,61.941765957446805
KY,2016,60,4438.229,73.97048333333333
LA,2016,34,4678.215,137.5945588235294
MA,2016,146,6826.022,46.75357534246575
MD,2016,88,6004.692,68.23513636363636
ME,2016,102,1331.37,13.052647058823528
MI,2016,379,9951.89,26.258284960422163
MN,2016,165,5523.409,33.475206060606055
MO,2016,116,6087.203,52.475887931034485
MS,2016,14,2988.298,213.44985714285713
MT,2016,79,1040.863,13.175481012658228
NC,2016,260,10156.679,39.06415
ND,2016,15,754.353,50.2902
NE,2016,47,1905.924,40.55157446808511
NH,2016,73,1342.373,18.388671232876714
NJ,2016,96,8874.516,92.442875
NM,2016,86,2092.789,24.334755813953493
NV,2016,44,2919.772,66.35845454545455
NY,2016,394,19641.589,49.85174873096447
OH,2016,236,11635.003,49.30086016949153
OK,2016,26,3926.769,151.02957692307692
OR,2016,304,4091.404,13.458565789473685
PA,2016,333,12783.538,38.389003003003005
RI,2016,17,1057.063,62.18017647058824
SC,2016,59,4958.235,84.0378813559322
SD,2016,21,862.89,41.089999999999996
TN,2016,101,6645.011,65.79218811881188
TX,2016,266,27937.492,105.02816541353383
UT,2016,34,3042.613,89.48861764705882
VA,2016,209,8410.946,40.24376076555024
VT,2016,73,623.644,8.543068493150685
WA,2016,424,7294.68,17.20443396226415
WI,2016,217,5772.958,26.603493087557602
WV,2016,24,1830.929,76.28870833333333
WY,2016,33,584.29,17.705757575757573
AK,2017,45,739.786,16.439688888888888
AL,2017,52,4875.12,93.7523076923077
AR,2017,44,3002.997,68.24993181818182
AZ,2017,130,7048.876,54.222123076923076
CA,2017,1106,39399.349,35.62328119349006
CO,2017,448,5615.902,12.535495535714286
CT,2017,103,3573.88,34.697864077669905
DC,2017,13,695.691,53.51469230769231
DE,2017,33,957.078,29.002363636363636
FL,2017,338,20976.812,62.06157396449704
GA,2017,102,10413.055,102.08877450980393
HI,2017,28,1424.203,50.86439285714285
IA,2017,115,3143.637,27.33597391304348
ID,2017,76,1718.904,22.61715789473684
IL,2017,291,12786.196,43.93881786941581
IN,2017,213,6660.082,31.26799061032864
KS,2017,53,2910.689,54.918660377358485
KY,2017,73,4453.874,61.011972602739725
LA,2017,43,4670.818,108.62367441860465
MA,2017,189,6863.246,36.3134708994709
MD,2017,116,6024.891,51.93871551724138
ME,2017,131,1335.063,10.191320610687024
MI,2017,452,9976.447,22.071785398230087
MN,2017,214,5568.155,26.019415887850467
MO,2017,145,6108.612,42.12835862068965
MS,2017,16,2989.663,186.8539375
MT,2017,98,1053.09,10.745816326530612
NC,2017,330,10270.8,31.12363636363636
ND,2017,22,755.176,34.32618181818182
NE,2017,53,1917.575,36.18066037735849
NH,2017,88,1349.767,15.338261363636365
NJ,2017,123,8888.543,72.26457723577235
NM,2017,110,2093.395,19.030863636363637
NV,2017,46,2972.405,64.6175
NY,2017,471,19590.719,41.59388322717622
OH,2017,324,11664.129,36.00039814814815
OK,2017,43,3932.64,91.4567441860465
OR,2017,347,4146.592,11.949832853025935
PA,2017,411,12790.447,31.12030900243309
RI,2017,27,1056.486,39.129111111111115
SC,2017,84,5021.219,59.77641666666667
SD,2017,28,873.286,31.18878571428571
TN,2017,120,6708.794,55.906616666666665
TX,2017,333,28322.717,85.0532042042042
UT,2017,39,3103.118,79.5671282051282
VA,2017,287,8465.207,29.495494773519166
VT,2017,84,624.525,7.4348214285714285
WA,2017,499,7425.432,14.880625250501001
