State,year,number_breweries,population,residents_per_brewery
MI,1993,6,9529.24,1588.2066666666667
MN,1993,9,4521.709,502.4121111111111
MO,1993,5,5237.757,1047.5513999999998
MT,1993,10,839.876,83.9876
NC,1993,14,6947.412,496.2437142857143
NE,1993,6,1612.149,268.69149999999996
NH,1993,4,1122.191,280.54775
NM,1993,8,1614.937,201.867125
NV,1993,3,1380.197,460.06566666666663
NY,1993,20,18140.894,907.0447
OH,1993,15,11070.385,738.0256666666667
OK,1993,4,3228.829,807.20725
OR,1993,37,3034.49,82.01324324324324
PA,1993,12,12022.128,1001.844
TN,1993,5,5085.666,1017.1332
TX,1993,11,17996.764,1636.0694545454544
UT,1993,4,1875.993,468.99825
VA,1993,12,6464.795,538.7329166666667
VT,1993,7,574.004,82.00057142857143
WA,1993,21,5247.704,249.89066666666665
WI,1993,23,5055.318,219.7964347826087
AK,1994,3,600.624,200.208
AR,1994,3,2450.605,816.8683333333333
AZ,1994,11,4147.561,377.051
CA,1994,127,31317.179,246.59196062992126
CO,1994,51,3653.91,71.64529411764705
FL,1994,27,13961.798,517.1036296296296
GA,1994,3,7045.9,2348.633333333333
IA,1994,6,2829.422,471.57033333333334
ID,1994,11,1135.459,103.22354545454546
IL,1994,22,11804.986,536.5902727272728
IN,1994,9,5745.626,638.4028888888889
KS,1994,7,2569.118,367.01685714285713
KY,1994,3,3823.215,1274.405
LA,1994,3,4306.5,1435.5
MA,1994,17,6031.352,354.7854117647059
MD,1994,10,4985.411,498.54110000000003
ME,1994,12,1237.687,103.14058333333332
MI,1994,12,9584.481,798.7067499999999
MN,1994,13,4566.028,351.2329230769231
MO,1994,12,5281.206,440.1005
MT,1994,12,854.923,71.24358333333333
NC,1994,20,7060.959,353.04795
NE,1994,6,1621.551,270.25849999999997
NH,1994,9,1133.054,125.8948888888889
NJ,1994,5,7918.796,1583.7592
NM,1994,10,1653.329,165.3329
NV,1994,3,1456.388,485.4626666666666
NY,1994,27,18156.652,672.4685925925925
OH,1994,20,11111.451,555.57255
OK,1994,6,3246.119,541.0198333333334
OR,1994,48,3087.142,64.31545833333332
PA,1994,15,12042.545,802.8363333333333
RI,1994,3,993.412,331.13733333333334
TN,1994,9,5163.016,573.6684444444444
TX,1994,27,18338.319,679.197
UT,1994,8,1930.436,241.3045
VA,1994,9,6536.771,726.3078888888889
VT,1994,10,578.9,57.89
WA,1994,28,5334.896,190.53199999999998
WI,1994,29,5095.504,175.70703448275862
WV,1994,3,1818.49,606.1633333333333
AK,1995,5,601.345,120.269
AL,1995,5,4262.731,852.5462
AR,1995,3,2480.121,826.707
AZ,1995,11,4306.908,391.5370909090909
CA,1995,167,31493.525,188.58398203592816
CO,1995,74,3738.061,50.51433783783784
DE,1995,4,718.265,179.56625
FL,1995,36,14185.403,394.03897222222224
GA,1995,6,7188.538,1198.0896666666665
HI,1995,4,1180.49,295.1225
IA,1995,6,2840.86,473.4766666666667
ID,1995,15,1165,77.66666666666667
IL,1995,26,11884.935,457.1128846153846
IN,1995,10,5791.819,579.1819
KS,1995,13,2586.942,198.99553846153847
KY,1995,7,3855.248,550.7497142857143
LA,1995,4,4327.978,1081.9945
MA,1995,27,6062.335,224.5309259259259
MD,1995,12,5023.65,418.6375
ME,1995,21,1237.438,58.92561904761905
MI,1995,24,9659.871,402.494625
MN,1995,18,4605.445,255.85805555555555
MO,1995,13,5324.61,409.5853846153846
MT,1995,13,868.522,66.80938461538462
NC,1995,25,7185.403,287.41612000000003
ND,1995,3,641.548,213.84933333333333
NE,1995,8,1635.142,204.39275
NH,1995,14,1145.604,81.82885714285715
