"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production","population","percent_in_brewery","prodcution_PP","consumed_in_brewery_PP","percent_in_can","percent_in_keg","Total Production","Brewery Consumption (PP)","Consumed in Brewery (%)","Canned or Bottled (%)","Kegged (%)","Total Production (PP)"
"139","OK",2009,2284.47,2578.47,2621.87,7484.81,3717.572,35.0292124983801,2.01335979504903,0.705264080964673,30.521416041289,34.449371460331,7485,0.71,35.03,30.52,34.45,0.71
"140","OR",2009,581456.86,325659.16,23391.44,930507.46,3808.6,2.51383691217263,244.317455232894,6.14174237252534,62.4881459843428,34.9980171034846,930507,6.14,2.51,62.49,35,6.14
"141","PA",2009,2262763.16,953285.76,24100.19,3240149.11,12666.858,0.743798793877113,255.797381639551,1.90261783940422,69.8351552098786,29.4210459962443,3240149,1.9,0.74,69.84,29.42,1.9
"142","RI",2009,76,2430,692.41,3198.41,1053.646,21.6485691327879,3.03556412685095,0.657156198571437,2.37618066476781,75.9752502024443,3198,0.66,21.65,2.38,75.98,0.66
"143","SC",2009,4733.84,6192.25,2901.18,13827.27,4589.872,20.9815820476493,3.01256113460245,0.632082986192207,34.2355360096389,44.7828819427118,13827,0.63,20.98,34.24,44.78,0.63
"144","SD",2009,0,559,860.25,1419.25,807.067,60.6129998238506,1.75852810237564,1.06589663559531,0,39.3870001761494,1419,1.07,60.61,0,39.39,1.07
"145","TN",2009,98.75,10982.71,11977.06,23058.52,6306.019,51.9420153591818,3.6565890461161,1.89930604395578,0.42825818829656,47.6297264525217,23059,1.9,51.94,0.43,47.63,1.9
"146","TX",2009,19020183.48,1131030.13,9814.02,20161027.63,24801.761,0.0486781734547923,812.886940971651,0.395698515117535,94.341339286186,5.60998254035923,20161028,0.4,0.05,94.34,5.61,0.4
"147","UT",2009,22586.94,25943.15,5941.77,54471.86,2723.421,10.9079623864505,20.0012631172338,2.18173025764287,41.4653364140677,47.6267011994817,54472,2.18,10.91,41.47,47.63,2.18
"148","VA",2009,13471382.64,1186492.73,12379.87,14670255.24,7925.937,0.0843875569815921,1850.91746754989,1.56194403261091,91.8278681564371,8.08774428658134,14670255,1.56,0.08,91.83,8.09,1.56
"149","VT",2009,217101.35,86533.33,3587.06,307221.74,624.817,1.16758013283826,491.698753394994,5.74097695805332,70.6660114612983,28.1664084058635,307222,5.74,1.17,70.67,28.17,5.74
"150","WA",2009,126287.74,155111.48,17651.64,299050.86,6667.426,5.90255450193322,44.8525202979381,2.64744445607645,42.229519085817,51.8679264122497,299051,2.65,5.9,42.23,51.87,2.65
"151","WI",2009,9095536.35,1191461.86,14700.4,10301698.61,5669.264,0.142698797125846,1817.1139340133,2.59299972624312,88.2916176675062,11.565683535368,10301699,2.59,0.14,88.29,11.57,2.59
"152","WV",2009,734,1725.47,78,2537.47,1847.775,3.07392796762129,1.37325702534129,0.0422129317692901,28.9264503619747,67.999621670404,2537,0.04,3.07,28.93,68,0.04
"153","WY",2009,1851.16,2489.98,2518.9,6860.04,559.851,36.7184447904094,12.253331690039,4.49923283159269,26.9846823050594,36.2968729045312,6860,4.5,36.72,26.98,36.3,4.5
"154","AK",2010,80889.21,54395.32,1929.15,137213.68,713.906,1.40594582114553,192.201326225021,2.70224651424697,58.9512722055119,39.6427819733426,137214,2.7,1.41,58.95,39.64,2.7
"155","AL",2010,0,547.69,161.24,708.93,4785.448,22.7441355281904,0.148142869800278,0.0336938150827258,0,77.2558644718096,709,0.03,22.74,0,77.26,0.03
"156","AR",2010,1445.82,1318.17,1331.85,4095.84,2921.978,32.5171393413805,1.4017353997874,0.455804253146328,35.2997187390132,32.1831419196062,4096,0.46,32.52,35.3,32.18,0.46
"157","AZ",2010,10380.26,24410.52,16800.24,51591.02,6407.774,32.5642718442085,8.05131704083196,2.62185276821561,20.1202844991241,47.3154436566674,51591,2.62,32.56,20.12,47.32,2.62
"158","CA",2010,19095643.27,2198550.1,58276.38,21352469.75,37320.903,0.272925711556154,572.131648315155,1.56149437220209,89.4306068271095,10.2964674613343,21352470,1.56,0.27,89.43,10.3,1.56
"159","CO",2010,18742266.67,2279812.02,50584.87,21072663.56,5048.281,0.240049720605894,4174.22555519394,10.0202167827029,88.9411374914012,10.8188127879929,21072664,10.02,0.24,88.94,10.82,10.02
"160","CT",2010,4822.66,6823.23,1988.38,13634.27,3579.125,14.5836924162423,3.80938637236755,0.555549191492334,35.371604053609,50.0447035301487,13634,0.56,14.58,35.37,50.04,0.56
"161","DC",2010,184.8,0,3574.26,3759.06,605.085,95.0838773523168,6.21244949056744,5.90703785418577,4.9161226476832,0,3759,5.91,95.08,4.92,0,5.91
"162","DE",2010,89753.27,48117.54,2308.99,140179.8,899.595,1.64716314333449,155.825454787988,2.56669945920108,64.0272492898406,34.3255875668249,140180,2.57,1.65,64.03,34.33,2.57
"163","FL",2010,9232548.52,1247064.73,7554.46,10487167.71,18845.785,0.0720352740501754,556.472851091106,0.400856743298303,88.0366250956046,11.8913396303452,10487168,0.4,0.07,88.04,11.89,0.4
"164","GA",2010,14321565.18,518567.58,4165.69,14844298.45,9711.81,0.0280625589281385,1528.47908371354,0.428930343571384,96.4785586078,3.49337883327184,14844298,0.43,0.03,96.48,3.49,0.43
"165","HI",2010,7518.77,15488.55,1680.25,24687.57,1363.963,6.80605665118114,18.0998824748179,1.23188825503331,30.4556908598133,62.7382524890056,24688,1.23,6.81,30.46,62.74,1.23
"166","IA",2010,3817.78,3780.36,6597.31,14195.45,3050.767,46.4748211574836,4.65307576750371,2.16250864126956,26.8943922172245,26.6307866252919,14195,2.16,46.47,26.89,26.63,2.16
"167","ID",2010,6143.5,6834.92,4089.04,17067.46,1570.773,23.9581050724595,10.8656438581514,2.60320237233515,35.9953970889634,40.046497838577,17067,2.6,23.96,36,40.05,2.6
"168","IL",2010,935134.49,63152.26,20051.7,1018338.45,12840.762,1.96906048278939,79.3051417042073,1.56156620611767,91.8294394167283,6.20150010048231,1018338,1.56,1.97,91.83,6.2,1.56
"169","IN",2010,13724.96,23055.64,10589.68,47370.28,6490.436,22.3551137970897,7.2984742473387,1.63158222344385,28.973778495715,48.6711077071953,47370,1.63,22.36,28.97,48.67,1.63
"170","KS",2010,4887.37,3107.42,7579.85,15574.64,2858.213,48.6678985838517,5.44908304594514,2.65195421055044,31.3803079878572,19.9517934282911,15575,2.65,48.67,31.38,19.95,2.65
"171","KY",2010,68413.44,8190.89,5289.92,81894.25,4348.2,6.45945228144833,18.8340577710317,1.2165769743802,83.5387588261691,10.0017888923826,81894,1.22,6.46,83.54,10,1.22
"172","LA",2010,71390.8,43767.95,1775.2,116933.95,4544.532,1.51812198253801,25.7306913011065,0.390623280901092,61.0522435956367,37.4296344218253,116934,0.39,1.52,61.05,37.43,0.39
"173","MA",2010,72352.47,98121.54,12231.98,182705.99,6566.431,6.69489818040448,27.8242457736935,1.86280492401428,39.6004914781393,53.7046103414562,182706,1.86,6.69,39.6,53.7,1.86
"174","MD",2010,63027.57,29123.06,7525.49,99676.12,5788.642,7.54994275459358,17.2192579883157,1.30004412088362,63.2323669902079,29.2176902551985,99676,1.3,7.55,63.23,29.22,1.3
"175","ME",2010,88631.9,58015.64,6978.09,153625.63,1327.632,4.54226941168606,115.714015630837,5.25604233703315,57.6934330554088,37.7642975329052,153626,5.26,4.54,57.69,37.76,5.26
"176","MI",2010,129159.89,118799.27,23176.79,271135.95,9877.535,8.54803282264856,27.4497584670669,2.34641436350264,47.6365786241183,43.8153885532332,271136,2.35,8.55,47.64,43.82,2.35
"177","MN",2010,212445.88,79534.59,8360.51,300340.98,5310.843,2.78367274422558,56.552411735764,1.57423407169069,70.7348960504823,26.4814312052921,300341,1.57,2.78,70.73,26.48,1.57
"178","MO",2010,12455434.53,1183200.36,13289.38,13651924.27,5995.976,0.0973443723915412,2276.84771753589,2.21638312094645,91.2357429155297,8.66691271207879,13651924,2.22,0.1,91.24,8.67,2.22
"179","MS",2010,5188.87,5258.34,12.58,10459.79,2970.536,0.120270101024973,3.52117934271795,0.00423492595275735,49.6077837126749,50.2719461863001,10460,0,0.12,49.61,50.27,0
"180","MT",2010,42673.97,41261.22,2944.97,86880.16,990.722,3.38969219209541,87.6937829179124,2.97254931252158,49.1181991377548,47.4921086701498,86880,2.97,3.39,49.12,47.49,2.97
"181","NC",2010,6943748.84,903892.92,20184.07,7867825.83,9574.293,0.2565393596162,821.765725155894,2.10815252886036,88.2549892439599,11.4884713964239,7867826,2.11,0.26,88.25,11.49,2.11
"182","ND",2010,0,0,731.62,731.62,674.71,100,1.08434734923152,1.08434734923152,0,0,732,1.08,100,0,0,1.08
"183","NE",2010,4950.25,5688.77,5392.27,16031.29,1829.536,33.635908276876,8.76248950553583,2.94734293285292,30.8786753904396,35.4854163326844,16031,2.95,33.64,30.88,35.49,2.95
"184","NH",2010,2885016.06,341517.58,5272.03,3231805.67,1316.777,0.163129548565957,2454.33028523433,4.00373791462032,89.2694782604302,10.5673921910039,3231806,4,0.16,89.27,10.57,4
"185","NJ",2010,6920666.14,544599.19,5642.15,7470907.48,8799.624,0.0755216152134707,849.003034675118,0.641180804998032,92.6348794778543,7.28959890693225,7470907,0.64,0.08,92.63,7.29,0.64
"186","NM",2010,9364.7,7838.24,12544.54,29747.48,2064.588,42.1700930633452,14.4084340313903,6.07605004000798,31.4806497894948,26.34925714716,29747,6.08,42.17,31.48,26.35,6.08
"187","NV",2010,939.85,14741.33,15618.93,31300.11,2702.464,49.9005594549029,11.5820636278596,5.77951454672477,3.00270510231434,47.0967354427828,31300,5.78,49.9,3,47.1,5.78
"188","NY",2010,6376824.8,583310.58,11614.3,6971749.68,19400.08,0.166590892288032,359.367058280172,0.59867278897819,91.4666345278191,8.36677457989283,6971750,0.6,0.17,91.47,8.37,0.6
"189","OH",2010,18272288.93,2033529.73,8426,20314244.66,11539.327,0.0414782835445086,1760.43582611014,0.730198563573075,89.9481582299698,10.0103634864856,20314245,0.73,0.04,89.95,10.01,0.73
"190","OK",2010,2937.63,3395.64,2580.03,8913.3,3759.632,28.9458449732422,2.37079054545764,0.686245355928453,32.9578270674161,38.0963279593417,8913,0.69,28.95,32.96,38.1,0.69
"191","OR",2010,659065.27,341505.24,27650,1028220.51,3837.532,2.68911189098922,267.937963774634,7.20515164433808,64.0976583904167,33.2132297185941,1028221,7.21,2.69,64.1,33.21,7.21
"192","PA",2010,2685440.45,998172.5,26916.15,3710529.1,12711.158,0.725399242927377,291.911177565411,2.11752147207988,72.3735181055446,26.9010826515281,3710529,2.12,0.73,72.37,26.9,2.12
"193","RI",2010,1613,3236.99,788.29,5638.28,1053.938,13.9810367700788,5.34972645449732,0.747947222701905,28.6080152103124,57.4109480196088,5638,0.75,13.98,28.61,57.41,0.75
"194","SC",2010,6346.93,7558.6,3091.56,16997.09,4635.656,18.1887605466583,3.66659864321253,0.666908847420948,37.3412743004832,44.4699651528585,16997,0.67,18.19,37.34,44.47,0.67
"195","SD",2010,97.6,586,1186.62,1870.22,816.165,63.4481504849697,2.29147292520507,1.45389718990645,5.21863737955962,31.3332121354707,1870,1.45,63.45,5.22,31.33,1.45
"196","TN",2010,112.1,12988.82,13633.63,26734.55,6355.301,50.9962950563971,4.20665362663389,2.14523749543885,0.419307600090519,48.5843973435124,26735,2.15,51,0.42,48.58,2.15
"197","TX",2010,18985409.81,1143881.77,10556.49,20139848.07,25242.679,0.0524159366213133,797.849074181073,0.418200065056486,94.2678899265401,5.67969413683864,20139848,0.42,0.05,94.27,5.68,0.42
"198","UT",2010,28681.77,29194.74,5226.6,63103.11,2775.334,8.28263456428693,22.7371228111644,1.88323279288187,45.4522288996533,46.2651365360598,63103,1.88,8.28,45.45,46.27,1.88
"199","VA",2010,12809681.79,1152090.46,12732.37,13974504.62,8023.68,0.0911114228820513,1741.65777049932,1.58684917643774,91.6646574481579,8.24423112896005,13974505,1.59,0.09,91.66,8.24,1.59
"200","VT",2010,248184.49,105473.36,3661.94,357319.79,625.88,1.0248354842031,570.9078257813,5.85086598069918,69.4572472462273,29.5179172695697,357320,5.85,1.02,69.46,29.52,5.85
"201","WA",2010,128996.61,195436.87,19965.32,344398.8,6742.902,5.79715144187494,51.075753436725,2.9609387768056,37.4555921797637,56.7472563783614,344399,2.96,5.8,37.46,56.75,2.96
"202","WI",2010,10240080.7,1130525.73,16669.97,11387276.4,5690.479,0.146391195000764,2001.11034589531,2.92944934864007,89.9256357736254,9.92797303137386,11387276,2.93,0.15,89.93,9.93,2.93
"203","WV",2010,569.55,2582.42,7.16,3159.13,1854.214,0.226644677490322,1.70375695577749,0.00386147445764081,18.0286977743873,81.7446575481224,3159,0,0.23,18.03,81.74,0
"204","WY",2010,1649.54,3852.33,2681.61,8183.48,564.483,32.768577671113,14.4973010701828,4.75055936139795,20.1569503438635,47.0744719850235,8183,4.75,32.77,20.16,47.07,4.75
"205","AK",2011,94781.57,58519.66,2251.02,155552.25,722.038,1.44711503690882,215.434990956155,3.11759214888967,60.9323040971764,37.6205808659148,155552,3.12,1.45,60.93,37.62,3.12
"206","AL",2011,658.96,1810.06,0,2469.02,4798.834,0,0.514504148299358,0,26.6891317202777,73.3108682797223,2469,0,0,26.69,73.31,0
"207","AR",2011,1382.06,1144.17,1124.98,3651.21,2940.407,30.811155753846,1.24173626304114,0.382593294057591,37.8521093007524,31.3367349454017,3651,0.38,30.81,37.85,31.34,0.38
"208","AZ",2011,14057.56,32848.92,19897.83,66804.31,6473.497,29.7852488858877,10.3196633905909,3.07373742507334,21.0428937893378,49.1718573247744,66804,3.07,29.79,21.04,49.17,3.07
"209","CA",2011,18204514.85,2166028.35,65069.7,20435612.9,37641.823,0.318413253952369,542.896471831346,1.72865432155079,89.0823042063005,10.5992825397471,20435613,1.73,0.32,89.08,10.6,1.73
"210","CO",2011,18820319.55,2277201.65,60811.37,21158332.57,5121.771,0.287410975315812,4131.05790360405,11.8731138116093,88.9499183725138,10.7626706521704,21158333,11.87,0.29,88.95,10.76,11.87
"211","CT",2011,5578.56,8033.77,2530.8,16143.13,3588.023,15.6772571366272,4.49917127064124,0.705346649115683,34.5568672246336,49.7658756387392,16143,0.71,15.68,34.56,49.77,0.71
"212","DC",2011,332.23,1366.16,1676.54,3374.93,619.602,49.6762895823024,5.44693206284034,2.70583374488785,9.8440560248657,40.4796543928318,3375,2.71,49.68,9.84,40.48,2.71
"213","DE",2011,109745.27,57886.92,2541.38,170173.57,907.316,1.49340464562153,187.557113508414,2.80098664632829,64.4901966856545,34.0163986687239,170174,2.8,1.49,64.49,34.02,2.8
"214","FL",2011,9380672.31,1287687.46,6761.68,10675121.45,19093.352,0.063340544008518,559.101484642403,0.354137921932199,87.8741506964307,12.0625087595608,10675121,0.35,0.06,87.87,12.06,0.35
"215","GA",2011,14700163.67,482677.65,4248.35,15187089.67,9801.578,0.0279734306724483,1549.45353391056,0.43343531011027,96.7938162572263,3.17821031210123,15187090,0.43,0.03,96.79,3.18,0.43
"216","HI",2011,12683.85,19606.37,1886.65,34176.87,1379.252,5.52025390271257,24.779278913498,1.36787911128641,37.1123803905975,57.3673657066899,34177,1.37,5.52,37.11,57.37,1.37
"217","IA",2011,4178.1,6320.58,6808.03,17306.71,3066.054,39.3375170670798,5.64462008823067,2.22045339057955,24.1415034977763,36.5209794351439,17307,2.22,39.34,24.14,36.52,2.22
"218","ID",2011,6407.47,7749.54,5305.86,19462.87,1583.828,27.2614470527728,12.2884997613377,3.35002285601719,32.9215064376425,39.8170465095847,19463,3.35,27.26,32.92,39.82,3.35
"219","IL",2011,911312.4,64148.06,22028.03,997488.49,12867.291,2.20834929132866,77.521250588022,1.7119399879897,91.3606932948169,6.43095741385447,997488,1.71,2.21,91.36,6.43,1.71
"220","IN",2011,19393.24,36461.47,11063.82,66918.53,6516.045,16.5332681396319,10.2698078358882,1.69793486693232,28.9803735975671,54.486358262801,66919,1.7,16.53,28.98,54.49,1.7
"221","KS",2011,9179.79,5670.63,8113.96,22964.38,2869.035,35.3328067206691,8.00421744593566,2.82811467967452,39.9740380537162,24.6931552256146,22964,2.83,35.33,39.97,24.69,2.83
"222","KY",2011,58747.18,9276.72,4597.34,72621.24,4369.488,6.33057215767729,16.6200799727565,1.05214615533902,80.8953138227879,12.7741140195348,72621,1.05,6.33,80.9,12.77,1.05
"223","LA",2011,81163.65,53422.01,1535.77,136121.43,4575.184,1.12823528227701,29.7521214447331,0.335673931365383,59.6259163601205,39.2458483576025,136121,0.34,1.13,59.63,39.25,0.34
"224","MA",2011,91092.86,119862.81,10142.24,221097.91,6613.149,4.58721658653399,33.4330755287685,1.53364758604411,41.2002356783924,54.2125477350736,221098,1.53,4.59,41.2,54.21,1.53
"225","MD",2011,74120.55,38254.66,7559.49,119934.7,5838.991,6.30300488515834,20.5403125300245,1.29465690219423,61.8007549107973,31.8962402040444,119935,1.29,6.3,61.8,31.9,1.29
"226","ME",2011,114906.5,77600.43,6717.44,199224.37,1328.15,3.37179633194473,150.001407973497,5.05774197191582,57.6769297852467,38.9512738828086,199224,5.06,3.37,57.68,38.95,5.06
"227","MI",2011,198151.04,148703.06,23766.64,370620.74,9881.521,6.41265785611458,37.5064466290159,2.40516009630501,53.464638811093,40.1227033327924,370621,2.41,6.41,53.46,40.12,2.41
"228","MN",2011,259668.58,101033.14,9205.09,369906.81,5345.668,2.488488925089,69.1974903791257,1.72197188452407,70.1983778022362,27.3131332726748,369907,1.72,2.49,70.2,27.31,1.72
"229","MO",2011,12278066.32,1119507.94,14315.99,13411890.25,6009.641,0.106741031526112,2231.7290250782,2.38217058223611,91.5461287792748,8.3471301891991,13411890,2.38,0.11,91.55,8.35,2.38
"230","MS",2011,6646.41,6867.94,3.23,13517.58,2978.47,0.023894809573903,4.53843080507777,0.00108444939851669,49.1686381734009,50.8074670170252,13518,0,0.02,49.17,50.81,0
"231","MT",2011,50457.49,46957.49,3806.3,101221.28,997.221,3.76037528867448,101.503357831413,3.8169071850673,49.8486978232245,46.390926888101,101221,3.82,3.76,49.85,46.39,3.82
"232","NC",2011,6600785.11,1010647.87,20768.59,7632201.57,9656.754,0.272117944075735,790.348555011342,2.15068023892915,86.4859903064641,13.2418917494602,7632202,2.15,0.27,86.49,13.24,2.15
"233","ND",2011,0,0,772.39,772.39,685.136,100,1.12735281754279,1.12735281754279,0,0,772,1.13,100,0,0,1.13
"234","NE",2011,5885.5,7000.95,6111.78,18998.23,1840.538,32.1702600715961,10.3221069056982,3.3206486364313,30.979201746689,36.8505381817148,18998,3.32,32.17,30.98,36.85,3.32
"235","NH",2011,2734941.12,364000.89,5912.51,3104854.52,1319.815,0.190427923817828,2352.4922205006,4.47980209347522,88.0859667460361,11.723605330146,3104855,4.48,0.19,88.09,11.72,4.48
"236","NJ",2011,5908969.19,559276.11,5500.47,6473745.77,8827.783,0.0849658018004003,733.337664734169,0.623086226745719,91.2758918860047,8.63914231219494,6473746,0.62,0.08,91.28,8.64,0.62
"237","NM",2011,14169.83,10594.14,13349.8,38113.77,2080.395,35.026186073957,18.3204487609324,6.41695447258814,37.1777181842678,27.7960957417752,38114,6.42,35.03,37.18,27.8,6.42
"238","NV",2011,1790.02,7871.97,15819.59,25481.58,2712.799,62.0824532858637,9.39309547076654,5.83146410773522,7.02476063101268,30.8927860831236,25482,5.83,62.08,7.02,30.89,5.83
"239","NY",2011,5779655.18,604493.47,14572,6398720.65,19498.514,0.22773302347556,328.164528332774,0.747339002346538,90.3251680474596,9.44709892906483,6398721,0.75,0.23,90.33,9.45,0.75
"240","OH",2011,18312552.08,1886886.8,9229.08,20208667.96,11543.463,0.0456689180022531,1750.6590491952,0.799507045675981,90.617313898407,9.33701718359076,20208668,0.8,0.05,90.62,9.34,0.8
"241","OK",2011,3593.6,4025.32,2354.06,9972.98,3787.821,23.6043790321449,2.63290688762748,0.621481321319038,36.0333621445145,40.3622588233407,9973,0.62,23.6,36.03,40.36,0.62
"242","OR",2011,772698.31,357821.43,32250.56,1162770.3,3871.728,2.77359681443532,300.323343995239,8.32975870205758,66.4532203823919,30.7731828031727,1162770,8.33,2.77,66.45,30.77,8.33
"243","PA",2011,3128166.8,1081543.3,32025.24,4241735.34,12744.583,0.755003257699713,332.826530299187,2.51285114624778,73.7473356836073,25.497661058693,4241735,2.51,0.76,73.75,25.5,2.51
"244","RI",2011,1692,3371,901.31,5964.31,1053.536,15.1117228983738,5.66123037086535,0.855509446283753,28.3687467619892,56.5195303396369,5964,0.86,15.11,28.37,56.52,0.86
"245","SC",2011,10771.16,11769.84,3037.92,25578.92,4671.422,11.8766546828404,5.47561748863622,0.650320180878542,42.1095183064805,46.0138270106791,25579,0.65,11.88,42.11,46.01,0.65
"246","SD",2011,424.14,1237.88,824.63,2486.65,823.484,33.1622866105001,3.01967008466467,1.00139164816803,17.0566826855408,49.7810307039591,2487,1,33.16,17.06,49.78,1
"247","TN",2011,1051.89,17597.04,9702.23,28351.16,6397.41,34.2216332594504,4.43166218829183,1.51658718137496,3.71021855895843,62.0681481815912,28351,1.52,34.22,3.71,62.07,1.52
"248","TX",2011,18934858.19,1152638.24,10299.17,20097795.6,25646.227,0.0512452718943962,783.655061619785,0.401586167041257,94.2136071380883,5.73514759001728,20097796,0.4,0.05,94.21,5.74,0.4
"249","UT",2011,40477.43,34548.18,5238.62,80264.23,2814.216,6.52671806606754,28.5209912814084,1.86148469058523,50.4302227779423,43.0430591559902,80264,1.86,6.53,50.43,43.04,1.86
"250","VA",2011,12531661.75,1165692.37,12098.41,13709452.53,8100.469,0.0882486734865991,1692.4270100904,1.49354438613369,91.4089145615211,8.50283676499225,13709453,1.49,0.09,91.41,8.5,1.49
"251","VT",2011,289840.71,91368.48,3263.23,384472.42,626.979,0.848755289131012,613.214190586925,5.20468787630846,75.3866064046935,23.7646383061755,384472,5.2,0.85,75.39,23.76,5.2
"252","WA",2011,121471.16,218671.75,18205.29,358348.2,6821.655,5.08033527167152,52.5309767204586,2.66874973888301,33.8975220190865,61.022142709242,358348,2.67,5.08,33.9,61.02,2.67
"253","WI",2011,9002320.57,981225.81,19882.13,10003428.51,5704.755,0.198753157281273,1753.52464917424,3.48518560393917,89.9923517322162,9.80889511050247,10003429,3.49,0.2,89.99,9.81,3.49
"254","WV",2011,120.33,3264.98,0,3385.31,1856.074,0,1.82390896052636,0,3.55447507022991,96.4455249297701,3385,0,0,3.55,96.45,0
"255","WY",2011,1916.37,5055.71,3178.55,10150.63,567.224,31.3138199303886,17.8952759403692,5.60369448401337,18.8793207909263,49.8068592786852,10151,5.6,31.31,18.88,49.81,5.6
"256","AK",2012,105416.32,65679.13,2312.43,173407.88,730.399,1.33352071428357,237.415275760235,3.1659818811362,60.7909629020319,37.8755163836845,173408,3.17,1.33,60.79,37.88,3.17
"257","AL",2012,2485.79,6453.45,46.5,8985.74,4815.564,0.517486595427867,1.86597873063259,0.00965618980455872,27.663720517175,71.8187928873971,8986,0.01,0.52,27.66,71.82,0.01
"258","AR",2012,8,125.94,1265.93,1399.87,2952.109,90.4319686828063,0.474193195440954,0.428822241997162,0.571481637580632,8.99654967961311,1400,0.43,90.43,0.57,9,0.43
"259","AZ",2012,18411.25,44792.72,19165.96,82369.93,6556.629,23.2681513751438,12.5628474632315,2.92314236477312,22.3519068184227,54.3799418064335,82370,2.92,23.27,22.35,54.38,2.92
"260","CA",2012,18940276.02,2272768.96,64239.95,21277284.93,37960.782,0.301917985360174,560.507023538135,1.69227151326862,89.0164139001357,10.6816681145041,21277285,1.69,0.3,89.02,10.68,1.69
"261","CO",2012,19267902.29,2290799.82,57966.73,21616668.84,5193.721,0.268157552068046,4162.07740847073,11.1609248937323,89.1344657801586,10.5973766677734,21616669,11.16,0.27,89.13,10.6,11.16
"262","CT",2012,6372.31,6849.69,1876.05,15098.05,3594.395,12.4257768387308,4.20044263360037,0.52193762789009,42.2061789436384,45.3680442176308,15098,0.52,12.43,42.21,45.37,0.52
"263","DC",2012,1727.77,4257.53,1572.75,7558.05,634.725,20.8089388135829,11.9075977785655,2.47784473590925,22.859996956887,56.3310642295301,7558,2.48,20.81,22.86,56.33,2.48
"264","DE",2012,129493.68,65524.44,2718.28,197736.4,915.188,1.37469884148796,216.060962337793,2.97018754616538,65.488033563876,33.1372675946361,197736,2.97,1.37,65.49,33.14,2.97
"265","FL",2012,9738023.02,1289450.36,6817.8,11034291.18,19326.23,0.0617873852409974,570.948973493537,0.352774441781972,88.2523658397784,11.6858467749806,11034291,0.35,0.06,88.25,11.69,0.35
"266","GA",2012,15000803.63,480930.15,3480.3,15485214.08,9901.496,0.0224749879596111,1563.92671168074,0.351492340147388,96.8717871932707,3.10573781876963,15485214,0.35,0.02,96.87,3.11,0.35
"267","HI",2012,13350.64,19391.33,2084.01,34825.98,1394.905,5.98406706717227,24.9665604467688,1.49401572150075,38.3352887700504,55.6806441627773,34826,1.49,5.98,38.34,55.68,1.49
"268","IA",2012,4309.38,8572.43,6515.51,19397.32,3076.097,33.5897433253666,6.30582195554952,2.11810940942369,22.216368034347,44.1938886402864,19397,2.12,33.59,22.22,44.19,2.12
"269","ID",2012,9112.66,11316.83,5376.69,25806.18,1595.441,20.8348930372492,16.1749510010085,3.37003373988759,35.3119291580544,43.8531778046964,25806,3.37,20.83,35.31,43.85,3.37
"270","IL",2012,786867.4,60573.7,23229.73,870670.83,12884.119,2.66802667547734,67.5770559089061,1.80297387815185,90.374843498547,6.95712982597568,870671,1.8,2.67,90.37,6.96,1.8
"271","IN",2012,32664.02,48867.09,13120.19,94651.3,6537.64,13.8616057043062,14.477900282059,2.00686945136165,34.5098482535369,51.6285460421568,94651,2.01,13.86,34.51,51.63,2.01
"272","KS",2012,9537.42,4768.33,7821.78,22127.53,2885.361,35.3486358396079,7.66889481073599,2.71084969956966,43.1020543187604,21.5493098416317,22128,2.71,35.35,43.1,21.55,2.71
"273","KY",2012,70540.28,11795.65,4949.54,87285.47,4386.381,5.67051996168435,19.8991993627548,1.12838807208038,80.8156042466175,13.5138757916982,87285,1.13,5.67,80.82,13.51,1.13
"274","LA",2012,98359.97,56196.18,1606.1,156162.25,4600.814,1.0284815952639,33.9423089044678,0.349090400090071,62.9857535992213,35.9857648055148,156162,0.35,1.03,62.99,35.99,0.35
"275","MA",2012,107665.45,131474.98,10298.65,249439.08,6663.158,4.12872353441971,37.4355643375108,1.54561095504564,43.1630240137191,52.7082524518612,249439,1.55,4.13,43.16,52.71,1.55
"276","MD",2012,75360.92,46213.33,6958.28,128532.53,5887.072,5.41363342027112,21.8330147822211,1.18195938490306,58.6317876104983,35.9545789692306,128533,1.18,5.41,58.63,35.95,1.18
"277","ME",2012,124123.97,97285.94,7404.9,228814.81,1327.691,3.23619786673773,172.340409025895,5.57727664042311,54.2464755668569,42.5173265664054,228815,5.58,3.24,54.25,42.52,5.58
"278","MI",2012,284832.91,185386.44,25243.93,495463.28,9896.93,5.09501531576669,50.0623203357001,2.5506828885321,57.4881977126539,37.4167869715794,495463,2.55,5.1,57.49,37.42,2.55
"279","MN",2012,232657.19,115956.35,11376.94,359990.48,5376.55,3.16034468467055,66.9556648780352,2.11602979605881,64.6287062924553,32.2109490228742,359990,2.12,3.16,64.63,32.21,2.12
"280","MO",2012,12808818.03,1019244.02,14047.28,13842109.33,6024.081,0.101482221134862,2297.79601735103,2.33185443555623,92.5351601019322,7.3633576769329,13842109,2.33,0.1,92.54,7.36,2.33
"281","MS",2012,8051.63,6481.96,40.12,14573.71,2983.767,0.275290231519634,4.88433245625412,0.0134460901270106,55.2476342674583,44.477075501022,14574,0.01,0.28,55.25,44.48,0.01
"282","MT",2012,53243.54,50865.95,4375.87,108485.36,1003.754,4.03360416557589,108.079629072462,4.3595044204058,49.079009370481,46.8873864639432,108485,4.36,4.03,49.08,46.89,4.36
