State,year,number_breweries
UT,2015,29
VA,2015,155
VT,2015,66
WA,2015,383
WI,2015,189
WV,2015,17
WY,2015,32
Other,2015,NA
Total,2015,6080
AK,2016,36
AL,2016,37
AR,2016,34
AZ,2016,110
CA,2016,927
CO,2016,386
CT,2016,76
DC,2016,13
DE,2016,25
FL,2016,264
GA,2016,69
HI,2016,23
IA,2016,94
ID,2016,67
IL,2016,244
IN,2016,163
KS,2016,47
KY,2016,60
LA,2016,34
MA,2016,146
MD,2016,88
ME,2016,102
MI,2016,379
MN,2016,165
MO,2016,116
MS,2016,14
MT,2016,79
NC,2016,260
ND,2016,15
NE,2016,47
NH,2016,73
NJ,2016,96
NM,2016,86
NV,2016,44
NY,2016,394
OH,2016,236
OK,2016,26
OR,2016,304
PA,2016,333
RI,2016,17
SC,2016,59
SD,2016,21
TN,2016,101
TX,2016,266
UT,2016,34
VA,2016,209
VT,2016,73
WA,2016,424
WI,2016,217
WV,2016,24
WY,2016,33
Other,2016,NA
Total,2016,7190
AK,2017,45
AL,2017,52
AR,2017,44
AZ,2017,130
CA,2017,1106
CO,2017,448
CT,2017,103
DC,2017,13
DE,2017,33
FL,2017,338
GA,2017,102
HI,2017,28
IA,2017,115
ID,2017,76
IL,2017,291
IN,2017,213
KS,2017,53
KY,2017,73
LA,2017,43
MA,2017,189
MD,2017,116
ME,2017,131
MI,2017,452
MN,2017,214
MO,2017,145
MS,2017,16
MT,2017,98
NC,2017,330
ND,2017,22
NE,2017,53
NH,2017,88
NJ,2017,123
NM,2017,110
NV,2017,46
NY,2017,471
OH,2017,324
OK,2017,43
OR,2017,347
PA,2017,411
RI,2017,27
SC,2017,84
SD,2017,28
TN,2017,120
TX,2017,333
UT,2017,39
VA,2017,287
VT,2017,84
WA,2017,499
WI,2017,261
WV,2017,27
WY,2017,39
Other,2017,NA
Total,2017,8863
AK,2018,51
AL,2018,55
AR,2018,53
AZ,2018,146
CA,2018,1236
CO,2018,500
CT,2018,124
DC,2018,13
DE,2018,38
FL,2018,386
GA,2018,121
HI,2018,38
IA,2018,125
ID,2018,87
IL,2018,338
IN,2018,234
KS,2018,64
KY,2018,86
LA,2018,47
MA,2018,230
MD,2018,141
ME,2018,165
MI,2018,510
MN,2018,239
MO,2018,168
MS,2018,19
MT,2018,108
NC,2018,387
ND,2018,26
NE,2018,60
NH,2018,106
NJ,2018,146
NM,2018,124
NV,2018,50
NY,2018,532
OH,2018,377
OK,2018,55
OR,2018,386
PA,2018,472
RI,2018,33
SC,2018,94
SD,2018,35
TN,2018,140
TX,2018,387
UT,2018,46
VA,2018,328
VT,2018,90
WA,2018,540
WI,2018,303
WV,2018,32
WY,2018,44
Other,2018,NA
Total,2018,10115
AK,NA,55
AL,NA,59
AR,NA,54
AZ,NA,146
CA,NA,1272
CO,NA,520
CT,NA,130
DC,NA,13
DE,NA,40
FL,NA,414
GA,NA,133
HI,NA,39
IA,NA,129
ID,NA,93
IL,NA,347
IN,NA,245
KS,NA,70
KY,NA,92
LA,NA,53
MA,NA,239
MD,NA,146
ME,NA,169
MI,NA,534
MN,NA,252
MO,NA,180
MS,NA,20
MT,NA,110
NC,NA,407
ND,NA,28
NE,NA,63
NH,NA,111
NJ,NA,154
NM,NA,135
NV,NA,55
NY,NA,563
OH,NA,390
OK,NA,60
OR,NA,394
PA,NA,510
RI,NA,39
SC,NA,101
SD,NA,38
TN,NA,153
TX,NA,412
UT,NA,48
VA,NA,347
VT,NA,92
WA,NA,569
WI,NA,326
WV,NA,34
WY,NA,46
Other,NA,NA
Total,NA,10629
