"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production"
"426","KY",2015,99595.65,30952.49,7183.35,137731.49
"427","LA",2015,109962.3,72007.58,6238.54,188208.42
"428","MA",2015,140674.77,149185.25,18915.57,308775.59
"429","MD",2015,113778.85,64705.32,17339.14,195823.31
"430","ME",2015,136646.89,117491.36,14981.92,269120.17
"431","MI",2015,542697.93,330798.01,55195.44,928691.38
"432","MN",2015,314887.35,154250.32,35484.79,504622.46
"433","MO",2015,12493739.84,881247.94,18369.1,13393356.88
"434","MS",2015,11793.55,5999.23,6197.57,23990.35
"435","MT",2015,71159.76,53876.38,25759.63,150795.77
"436","NC",2015,6341549.69,991004.06,52073.41,7384627.16
"437","ND",2015,1891.37,3456.6,2322.25,7670.22
"438","NE",2015,10792.33,10422.01,6340.13,27554.47
"439","NH",2015,2856383.87,347827.51,8634.11,3212845.49
"440","NJ",2015,3221454.37,423001.17,19453.22,3663908.76
"441","NM",2015,30487.22,26192.78,14181.52,70861.52
"442","NV",2015,6091,5161.63,21635.99,32888.62
"443","NY",2015,7218516.11,589153.27,44491.79,7852161.17
"444","OH",2015,18060472.31,1628062.64,30296.19,19718831.14
"445","OK",2015,6990.95,4539.32,9930.51,21460.78
"446","OR",2015,1089613.2,489128.91,88028.35,1666770.46
"447","PA",2015,4140992.46,1156462.98,44275.02,5341730.46
"448","RI",2015,5592.76,3969.48,961.74,10523.98
"449","SC",2015,24319.79,19492.06,11328.32,55140.17
"450","SD",2015,1028.03,2406.63,1731.45,5166.11
"451","TN",2015,1073651.26,87084.56,18757.66,1179493.48
"452","TX",2015,18151237.17,1037119.99,62757.74,19251114.9
"453","UT",2015,117512.5,54961.49,4302.44,176776.43
"454","VA",2015,11190928.41,1017740.25,36003.33,12244671.99
"455","VT",2015,264417.4,89387.18,10792.93,364597.51
"456","WA",2015,163346.76,291509.7,45357.11,500213.57
"457","WI",2015,9090297.72,937817.99,34649.49,10062765.2
"458","WV",2015,60.86,6640.44,3653.33,10354.63
"459","WY",2015,3409.94,9671.7,5403.2,18484.84
"460","AK",2016,115823.75,69473.78,13315.93,198613.46
"461","AL",2016,9977.46,11846.23,23810.78,45634.47
"462","AR",2016,1737.1,9058.3,6091.89,16887.29
"463","AZ",2016,59031.78,71863.7,41613.95,172509.43
"464","CA",2016,17569308.63,2165833.96,201066.01,19936208.6
"465","CO",2016,18105206.85,1898362.52,141312.55,20144881.92
"466","CT",2016,85586.12,47595.2,10705.61,143886.93
"467","DC",2016,9485.89,9664.33,8969.72,28119.94
"468","DE",2016,174130.96,78225.11,7647.56,260003.63
"469","FL",2016,10028963.53,1186318.43,88092.72,11303374.68
"470","GA",2016,13468949.41,533283.65,30539.97,14032773.03
"471","HI",2016,24101.03,28641.98,5623.03,58366.04
"472","IA",2016,4303.13,7700.13,29975.6,41978.86
"473","ID",2016,15422.23,16296.75,7812.7,39531.68
"474","IL",2016,1281395.63,243183,72776.5,1597355.13
"475","IN",2016,67624,68150,36829.47,172603.47
"476","KS",2016,17069.96,9585.41,9095.51,35750.88
"477","KY",2016,97413.84,30049.37,16546.76,144009.97
"478","LA",2016,104479.26,61638.35,9478.39,175596
"479","MA",2016,168617.48,138987.97,78787.14,386392.59
"480","MD",2016,110105.25,68486.52,23190.15,201781.92
"481","ME",2016,136065.27,120823.77,27827.95,284716.99
"482","MI",2016,630694.91,329891.64,100487.69,1061074.24
