STATE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SC,"4,950.87","6,193.71","6,192.25","7,558.60","11,769.84","15,831.87","18,103.48","19,762.34","19,492.06","13,380.82","20,748.53","14,709.10"
SD,907,572,559,586,"1,237.88","1,521.50","1,753.50","1,923.75","2,406.63","2,606.53","3,319.71","2,298.83"
TN,"8,598.27","10,155.49","10,982.71","12,988.82","17,597.04","28,387.58","31,767.12","60,753.94","87,084.56","72,261.38","64,760.02","54,131.48"
TX,"1,088,767.77","1,094,276.99","1,131,030.13","1,143,881.77","1,152,638.24","1,144,585.80","1,038,542.78","1,060,536.45","1,037,119.99","1,073,417.23","1,057,055.70","1,069,103.27"
UT,"25,539.65","26,717.11","25,943.15","29,194.74","34,548.18","43,143.32","45,937.83","51,425.32","54,961.49","54,169.39","54,184.15","51,234.23"
VA,"1,519,072.07","1,425,448.78","1,186,492.73","1,152,090.46","1,165,692.37","1,175,467.01","1,134,449.57","1,048,495.09","1,017,740.25","1,253,898.31","1,463,360.40","1,272,328.62"
VT,"66,877.72","70,621.02","86,533.33","105,473.36","91,368.48","98,154.92","98,852.28","93,531.96","89,387.18","68,330.18","64,791.32","66,620.54"
WA,"175,030.00","165,425.08","155,111.48","195,436.87","218,671.75","240,103.86","274,558.65","297,547.82","291,509.70","251,896.07","222,188.23","222,168.19"
WI,"1,129,963.27","1,039,757.77","1,191,461.86","1,130,525.73","981,225.81","1,038,914.37","1,071,651.35","1,066,520.15","937,817.99","1,010,565.53","1,093,376.11","1,047,608.30"
WV,853.65,"1,655.04","1,725.47","2,582.42","3,264.98","3,701.81","4,525.59","5,160.63","6,640.44","3,835.30","3,564.32","3,278.68"
WY,"2,749.59","2,989.71","2,489.98","3,852.33","5,055.71","5,752.17","7,216.88","8,379.14","9,671.70","8,328.08","8,312.15","16,731.39"
,,,,,,,,,,,,
,,,,,,,,,,,,
