STATE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PA,"2,100,671.91","2,238,872.56","2,262,763.16","2,685,440.45","3,128,166.80","3,411,033.49","4,005,887.40","4,246,712.36","4,140,992.46","3,853,670.66","3,637,399.93","4,126,266.57"
RI,84.5,78,76,"1,613.00","1,692.00","2,021.32","4,181.58","4,949.18","5,592.76","6,646.02","16,985.26","32,268.25"
SC,"2,663.67","3,475.55","4,733.84","6,346.93","10,771.16","12,903.66","17,725.52","21,211.65","24,319.79","20,753.29","20,894.82","19,482.87"
SD,,,,97.6,424.14,619.7,785.06,823.65,"1,028.03",935.83,"1,132.85",877.45
TN,28.65,292.08,98.75,112.1,"1,051.89","380,277.00","560,336.92","696,681.85","1,073,651.26","1,116,453.27","1,307,141.77","1,750,984.80"
TX,"18,789,638.88","18,671,765.96","19,020,183.48","18,985,409.81","18,934,858.19","17,941,441.31","18,373,013.26","18,841,742.38","18,151,237.17","18,582,286.52","18,110,667.95","16,987,670.45"
UT,"20,537.96","22,701.49","22,586.94","28,681.77","40,477.43","62,120.44","80,300.79","101,610.11","117,512.50","124,719.01","126,456.78","110,817.78"
VA,"13,677,700.70","14,083,265.00","13,471,382.64","12,809,681.79","12,531,661.75","13,408,374.35","12,891,463.92","12,259,344.53","11,190,928.41","11,211,279.68","12,678,626.95","12,333,484.10"
VT,"197,799.34","219,875.42","217,101.35","248,184.49","289,840.71","273,965.87","271,560.29","258,101.46","264,417.40","220,195.37","208,884.06","187,172.15"
WA,"135,954.63","130,485.73","126,287.74","128,996.61","121,471.16","116,944.26","125,917.12","140,925.38","163,346.76","139,649.07","142,440.45","174,684.94"
WI,"7,394,929.60","7,202,790.46","9,095,536.35","10,240,080.70","9,002,320.57","8,884,190.43","9,038,409.69","9,100,215.78","9,090,297.72","9,142,816.33","9,189,949.38","9,225,292.71"
WV,"1,144.66","1,277.63",734,569.55,120.33,23.18,87.86,43.45,60.86,40.86,15.6,20.73
WY,"1,826.80","1,666.38","1,851.16","1,649.54","1,916.37","2,580.15","2,755.25","2,447.42","3,409.94","6,946.93","7,393.61","11,129.22"
,,,,,,,,,,,,
,,,,,,,,,,,,
