Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950-01-01,135,3058,1908,756,10677,1325,2016,806,321,2810,3458,498,2625,590,8738,3967,1916,2936,2697,4686,2355,917,6407,2997,3964,2176,593,4068,619,1327,532,4872,689,162,14865,7980,2229,1532,10507,786,2113,655,3315,7776,696,3315,379,2387,3438,2006,290
1951-01-01,158,3059,1901,785,11134,1326,2028,808,331,2980,3531,514,2617,589,8790,4096,1950,2941,2769,4654,2441,916,6497,3010,4015,2163,596,4120,604,1316,529,5006,717,168,14890,8061,2210,1556,10461,784,2167,655,3372,8111,706,3434,378,2424,3439,1984,291
1952-01-01,189,3068,1838,842,11635,1365,2081,805,341,3157,3584,517,2626,587,8956,4148,1977,2920,2842,4650,2500,915,6650,3030,3972,2152,602,4109,608,1311,535,5125,735,181,15192,8275,2219,1582,10503,802,2178,651,3352,8314,724,3504,375,2448,3469,1957,293
1953-01-01,205,3053,1780,894,12251,1431,2168,810,351,3310,3558,510,2629,596,9065,4182,1994,2903,2866,4806,2567,913,6822,3050,4020,2105,616,4120,609,1318,547,5229,756,195,15527,8591,2182,1601,10662,815,2181,648,3319,8336,739,3557,379,2466,3506,1929,290
1954-01-01,215,3014,1734,933,12746,1493,2249,791,368,3505,3602,505,2626,600,9252,4264,2042,2902,2883,4910,2685,927,7066,3113,4066,2064,624,4131,611,1340,554,5360,763,213,15814,8873,2209,1626,10817,816,2176,655,3359,8382,750,3555,377,2516,3608,1905,293
1955-01-01,222,3050,1725,987,13133,1546,2300,785,389,3747,3636,539,2679,618,9435,4363,2093,2910,2946,4882,2742,934,7285,3172,4134,2060,636,4242,615,1374,557,5502,785,237,15966,9017,2250,1659,10939,823,2200,663,3415,8660,783,3588,375,2604,3679,1880,307
1956-01-01,224,3071,1704,1053,13713,1625,2316,759,408,4047,3701,559,2703,628,9530,4458,2119,2898,3032,4891,2811,938,7467,3240,4163,2086,656,4309,613,1397,566,5615,806,250,16112,9207,2273,1698,10972,840,2229,670,3415,8830,809,3722,377,2668,3742,1857,312
1957-01-01,231,3109,1733,1125,14264,1664,2359,763,426,4372,3766,584,2716,642,9668,4529,2128,2928,3115,4929,2873,943,7569,3274,4189,2088,667,4368,612,1394,572,5737,847,260,16374,9410,2282,1712,10954,851,2274,666,3434,9070,826,3844,376,2724,3791,1843,314
1958-01-01,224,3163,1726,1193,14880,1667,2446,757,433,4630,3804,605,2708,646,9886,4583,2142,2961,3155,5010,2982,944,7667,3313,4186,2086,666,4376,606,1383,581,5890,886,269,16601,9599,2267,1718,11058,858,2304,656,3471,9252,845,3914,380,2773,3843,1845,315
1959-01-01,224,3204,1756,1261,15467,1710,2523,761,441,4808,3868,622,2729,657,9986,4613,2160,2999,3208,5117,3066,957,7767,3366,4258,2138,669,4458,618,1397,596,6015,919,279,16685,9671,2289,1746,11234,857,2348,667,3522,9405,870,3951,387,2821,3891,1855,320
1960-01-01,229,3274,1789,1321,15870,1769,2544,765,449,5004,3956,642,2756,671,10086,4674,2183,3041,3260,5160,3113,975,7834,3425,4326,2182,679,4573,634,1417,609,6103,954,291,16838,9734,2336,1772,11329,855,2392,683,3575,9624,900,3986,389,2855,3962,1853,331
1961-01-01,238,3316,1806,1407,16497,1844,2586,778,461,5243,4015,659,2756,684,10130,4730,2215,3054,3287,5219,3176,995,7893,3470,4349,2206,696,4663,641,1446,618,6265,965,315,17061,9854,2380,1787,11392,858,2409,693,3622,9820,936,4095,390,2882,4009,1828,337
1962-01-01,246,3323,1853,1471,17072,1899,2647,788,469,5458,4086,684,2750,692,10280,4736,2231,3079,3345,5263,3263,994,7933,3513,4357,2243,698,4707,637,1464,632,6376,979,352,17301,9929,2427,1818,11355,871,2423,705,3673,10053,958,4180,393,2942,4049,1809,333
1963-01-01,256,3358,1875,1521,17668,1936,2727,798,483,5628,4172,682,2747,683,10402,4799,2217,3096,3377,5344,3386,993,8058,3531,4392,2244,703,4742,644,1476,649,6531,989,397,17461,9986,2439,1853,11424,876,2460,708,3718,10159,974,4276,397,2955,4112,1796,336
1964-01-01,263,3395,1897,1556,18151,1970,2798,798,497,5781,4258,700,2746,680,10580,4856,2209,3129,3446,5448,3492,993,8187,3558,4442,2241,706,4802,649,1482,663,6660,1006,426,17589,10080,2446,1888,11519,885,2475,701,3771,10270,978,4357,399,2961,4165,1797,339
1965-01-01,271,3443,1894,1584,18585,1985,2857,797,507,5954,4332,704,2742,686,10693,4922,2206,3140,3496,5502,3600,997,8357,3592,4467,2246,706,4863,649,1471,676,6767,1012,444,17734,10201,2440,1937,11620,893,2494,692,3798,10378,994,4411,404,2967,4232,1786,332
1966-01-01,271,3464,1899,1614,18858,2007,2903,791,516,6104,4379,710,2762,689,10836,4999,2200,3147,3550,5535,3695,999,8512,3617,4523,2245,707,4896,647,1456,681,6851,1007,446,17843,10330,2454,1969,11664,899,2520,683,3822,10492,1009,4456,413,3057,4274,1775,323
1967-01-01,278,3458,1901,1646,19176,2053,2935,791,525,6242,4408,723,2793,688,10947,5053,2197,3172,3581,5594,3757,1004,8630,3659,4539,2228,701,4952,626,1457,697,6928,1000,449,17935,10414,2489,1979,11681,909,2533,671,3859,10599,1019,4508,423,3174,4303,1769,322
1968-01-01,285,3446,1902,1682,19394,2120,2964,778,534,6433,4482,734,2803,695,10995,5093,2216,3195,3603,5618,3815,994,8696,3703,4568,2219,700,5004,621,1467,709,7005,994,464,18051,10516,2503,2004,11741,922,2559,669,3878,10819,1029,4558,430,3270,4345,1763,324
1969-01-01,296,3440,1913,1737,19711,2166,3000,762,540,6641,4551,750,2805,707,11039,5143,2236,3198,3619,5650,3868,992,8781,3758,4640,2220,694,5031,621,1474,724,7095,1011,480,18105,10563,2535,2062,11741,932,2570,668,3897,11045,1047,4614,437,3343,4378,1746,329
1970-01-01,302.583,3444.354,1923.322,1775.399,19971.069,2209.596,3032.217,756.668,548.104,6791.418,4587.93,769.913,2825.368,713.015,11110.285,5195.392,2249.071,3220.711,3644.637,5689.17,3923.897,993.722,8881.826,3806.103,4677.623,2216.994,694.409,5084.411,617.792,1485.333,737.681,7171.112,1017.055,488.738,18241.391,10657.423,2559.463,2091.533,11800.766,949.723,2590.713,666.257,3926.018,11198.655,1059.273,4651.448,444.732,3413.244,4417.821,1744.237,332.416
1971-01-01,315.51,3497.076,1972.312,1895.814,20345.939,2303.524,3060.938,749.781,564.708,7158.304,4711.55,801.644,2851.705,738.753,11202.397,5253.396,2246.6,3298.053,3710.487,5737.58,4018.324,1015.39,8974.186,3853.486,4725.764,2265.432,710.814,5203.531,626.76,1504.604,761.851,7281.107,1053.737,520.018,18357.982,10734.818,2618.601,2151.022,11886.4,963.107,2662.269,671.297,4013.608,11509.848,1101.192,4750.838,454.318,3447.553,4462.155,1770.657,340.285
1972-01-01,324.464,3539.4,2018.638,2008.291,20585.469,2404.619,3068.699,742.241,572.913,7511.463,4809.49,828.331,2860.287,763.237,11251.948,5302.435,2256.375,3335.728,3761.646,5760.302,4073.499,1034.292,9028.944,3869.747,4758.78,2307.117,718.732,5301.15,631.119,1519.013,781.107,7335.042,1078.697,546.789,18339.4,10746.993,2658.646,2197.297,11908.233,974.79,2719.197,677.234,4094.611,11759.148,1135.449,4824.472,463.143,3447.885,4502.412,1797.648,347.345
1973-01-01,330.543,3579.78,2059.256,2124.438,20868.728,2495.868,3067.814,731.488,577.759,7913.696,4910.374,851.595,2863.715,782.074,11251.367,5338.277,2265.603,3371.024,3788.375,5781.172,4097.974,1045.655,9077.956,3889.332,4782.645,2349.546,726.798,5389.852,632.675,1529.567,800.951,7333.083,1105.529,568.991,18177.063,10767.314,2695.931,2241.932,11890.527,975.738,2776.605,678.715,4147.401,12019.543,1170.04,4901.292,468.43,3478.782,4524.244,1806.36,354.061
1974-01-01,341.063,3626.499,2101.403,2223.196,21173.865,2541.406,3074.047,717.947,581.418,8298.762,4999.419,867.978,2867.53,807.99,11262.145,5361.89,2269.499,3416.315,3820.109,5773.548,4118.815,1059.04,9117.507,3903.925,4795.93,2378.268,736.419,5470.911,634.559,1539.191,815.914,7332.411,1131.309,596.822,18049.775,10765.759,2734.768,2285.013,11870.884,950.615,2844.749,679.585,4213.509,12268.629,1200.471,4971.069,473.002,3549.946,4545.782,1815.447,365.501
1975-01-01,376.17,3678.814,2159.526,2284.847,21537.849,2586.192,3082.5,706.871,586.589,8518.422,5064.075,886.16,2880.847,831.982,11291.743,5365.766,2280.578,3467.769,3886.104,5757.756,4139.096,1071.995,9117.668,3932.515,4808.308,2399.449,748.208,5547.188,638.886,1543.117,828.555,7337.765,1159.944,619.972,18003.485,10770.425,2774.683,2329.661,11906.095,942.788,2902.028,681.042,4275.566,12568.843,1236.03,5047.395,479.713,3621.339,4578.986,1842.25,381.695
1976-01-01,400.969,3735.139,2170.161,2346.157,21935.909,2632.306,3083.335,692.295,590.166,8667.379,5132.812,904.191,2903.082,856.983,11342.853,5389.088,2301.001,3529.257,3950.605,5743.672,4150.539,1088.412,9129.205,3964.68,4839.029,2429.756,757.317,5607.964,645.797,1550.911,845.248,7339.745,1189.295,646.975,17940.541,10752.662,2826.815,2378.262,11897.378,946.089,2943.657,686.39,4346.928,12904.089,1274.928,5121.863,484.928,3693.61,4595.904,1879.503,396.952
1977-01-01,403.436,3780.403,2209.01,2425.197,22352.396,2696.14,3085.722,677.228,591.829,8856.183,5219.697,918.259,2913.573,883.469,11386.316,5425.638,2320.647,3573.693,4014.459,5738.199,4169.595,1103.578,9171.11,3989.364,4863.173,2459.201,769.953,5685.607,649.769,1556.842,869.763,7337.169,1215.72,678.333,17812.602,10771.394,2870.014,2446.673,11893.591,950.23,2991.681,688.48,4422.921,13193.05,1319.512,5193.112,491.931,3776.05,4626.514,1908.088,413.354
1978-01-01,404.766,3831.836,2243.127,2515.316,22835.958,2766.748,3091.627,665.052,594.776,9102.032,5295.751,931.584,2918.069,910.69,11412.561,5470.214,2335.657,3609.976,4068.579,5736.469,4183.603,1113.566,9217.761,4015.341,4889.399,2487.816,782.317,5759.492,651.301,1563.884,891.52,7350.804,1238.034,719.436,17680.589,10795.581,2917.336,2518.298,11879.396,951.816,3044.364,688.58,4486.314,13500.429,1367.51,5270.24,498.109,3889.073,4646.108,1923.395,432.88
1979-01-01,402.753,3866.248,2271.333,2635.571,23256.88,2849.234,3095.917,650.016,594.984,9426.159,5401.384,953.306,2915.739,932.627,11396.837,5501.174,2350.906,3641.804,4137.665,5738.404,4191.16,1122.563,9266.268,4050.316,4912.43,2507.069,787.305,5823.491,652.896,1567.344,909.074,7366.512,1284.722,765.367,17583.838,10798.298,2975.31,2588.012,11887.975,950.382,3090.267,688.335,4560.473,13888.371,1420.238,5307.945,505.372,4017.632,4682.811,1942.146,454.378
1980-01-01,405.315,3900.368,2288.738,2737.774,23800.8,2908.803,3113.174,638.284,594.919,9839.835,5486.174,967.71,2914.018,947.983,11434.702,5490.721,2369.039,3664.221,4223.101,5746.075,4227.643,1126.86,9255.553,4085.017,4921.966,2525.342,788.752,5898.98,654.38,1572.296,924.25,7376.33,1309.4,810.215,17566.754,10800.65,3040.758,2641.218,11868.305,948.773,3134.502,690.851,4600.252,14338.208,1472.595,5368.334,512.524,4154.678,4712.045,1951.349,474.185
1981-01-01,418.491,3918.531,2293.201,2810.107,24285.933,2977.898,3128.836,636.893,595.975,10192.774,5568.345,978.195,2907.983,962.204,11443.458,5480.435,2384.849,3670.394,4283.303,5768.685,4261.905,1133.033,9209.287,4111.728,4932.064,2539.036,795.328,5956.653,659.505,1578.515,936.621,7407.472,1332.748,847.655,17567.734,10788.33,3096.164,2667.982,11858.567,953.013,3179.255,689.584,4627.658,14746.318,1515.471,5444.097,515.594,4235.731,4726.343,1954.124,491.712
1982-01-01,449.606,3925.266,2294.257,2889.861,24820.009,3061.564,3139.013,634.174,599.148,10471.407,5649.792,993.78,2888.189,973.721,11423.412,5467.922,2401.202,3683.445,4352.608,5771.222,4282.923,1136.684,9115.198,4131.45,4929.451,2556.777,803.986,6019.101,668.972,1581.78,947.719,7430.968,1363.823,881.537,17589.738,10757.087,3206.123,2664.922,11845.146,954.17,3207.614,690.597,4646.041,15331.415,1558.314,5492.783,519.109,4276.552,4728.87,1949.604,506.4
1983-01-01,488.417,3934.102,2305.761,2968.925,25360.026,3133.63,3162.354,632.433,605.458,10749.851,5728.25,1012.717,2870.543,981.869,11408.818,5450.395,2415.531,3694.484,4395.316,5799.407,4313.327,1144.772,9047.754,4141.456,4943.733,2567.717,814.031,6077.056,676.688,1584.293,958.134,7467.785,1394.361,901.977,17686.905,10737.632,3290.402,2653.066,11837.723,956.382,3234.066,693.008,4659.749,15751.676,1594.943,5564.657,523.302,4300.266,4721.438,1945.061,510.345
1984-01-01,513.702,3951.82,2319.768,3067.135,25844.393,3169.992,3180.014,633.382,611.565,11039.925,5834.954,1027.922,2858.618,990.839,11412.132,5458.322,2424.086,3695.453,4400.477,5840.773,4365.243,1155.635,9049.452,4157.706,4975.278,2578.051,820.905,6164.006,680.497,1588.639,976.864,7515.473,1416.717,924.922,17745.684,10737.746,3285.533,2666.588,11815.172,961.894,3271.868,697.249,4686.737,16007.086,1622.342,5643.87,526.66,4343.656,4735.563,1927.697,504.896
1985-01-01,532.495,3972.523,2327.046,3183.538,26441.109,3208.723,3201.131,634.549,618.28,11351.118,5962.661,1039.698,2829.684,994.051,11399.806,5459.211,2427.405,3694.826,4408.118,5880.733,4413.071,1162.936,9076.293,4184.302,5000.268,2588.102,822.32,6253.954,676.98,1584.664,996.753,7565.528,1438.361,951.03,17791.672,10734.926,3271.332,2672.652,11770.862,968.955,3303.209,698.402,4715.296,16272.734,1642.91,5715.153,530.035,4400.098,4747.767,1906.831,499.695
1986-01-01,544.268,3991.569,2331.984,3308.262,27102.237,3237.45,3223.74,638.269,627.559,11667.505,6084.666,1051.762,2791.97,990.224,11387.257,5454.108,2432.619,3687.809,4406.919,5902.678,4486.957,1170.126,9127.775,4205.212,5023.068,2593.597,813.739,6321.578,669.512,1574.333,1025.053,7622.159,1462.729,980.613,17833.419,10730.268,3252.735,2683.528,11782.752,977.341,3342.758,696.034,4738.708,16561.113,1662.834,5811.7,534.066,4452.72,4755.618,1882.35,495.633
1987-01-01,539.309,4015.264,2342.355,3437.103,27777.158,3260.48,3247.291,636.93,636.947,11997.283,6208.467,1067.918,2767.011,984.997,11391.178,5473.012,2445.367,3683.329,4344.148,5935.204,4565.557,1184.574,9187.481,4235.136,5056.696,2588.545,805.063,6403.7,661.136,1566.547,1054.289,7670.742,1478.52,1023.376,17868.848,10760.09,3210.122,2700.991,11810.866,989.604,3380.506,696.036,4782.927,16621.791,1678.119,5932.268,540.267,4531.901,4777.919,1857.585,476.965
